,,,,,,,,,,,,,,,,,,,,,,Destek Unusrları(1),sartları,Destek Unusrları sart 1,Destek Unusrları sart 2,Destek Unusrları sart 3,Destek Unusrları sart 4,Destek Unusrları sart 5,Destek Unusrları sart 6,Destek Unusrları sart 7,Destek Unusrları sart 8,sorgulamam seçimi,kapasite,kanun,yatırım konusu,iozsart,revize id,,GTIP No,BIRIMI,ADI OZELLIGI,kullanıcı mail,rol,kayıt tarihi,dogrulamaKodu,kodGecerlilikTarihi,onayDurumu
A000020,ADALYA ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ,,,,,2,Adıyaman,1246,Çelikhan,,,Afyonkarahisar,Afyonkarahisar-Dinar,,,0111.0.20,Pamuk (çırçırlanmış ya da çırçırlanmamış),0111.0.20-Pamuk (çırçırlanmış ya da çırçırlanmamış),,,,Gümrük Vergisi Muafiyeti,Yok,,,,,,,,,,AMPUL/YIL,,1422 / TUZ MADENCİLİĞİ,,,,"720839009012 - %0,006 veya daha az karbon içerenler",GROSS TON,,,,,,,
A000021,ADAMET MÜHENDİSLİK METAL İŞLEME VE PROJE YÖNETİMİ LİMİTED ŞİRKETİ,,,,,2,Adıyaman,1347,Gerger,,,Afyonkarahisar,İscehisar Mermer İhtisas,,,0111.0.21,"Jüt ve diğer bitki kabuğu kaynaklı tekstil lifleri (keten, kenevir ve rami hariç)","0111.0.21-Jüt ve diğer bitki kabuğu kaynaklı tekstil lifleri (keten, kenevir ve rami hariç)",,,,KDV İstisnası,Var (Yerli ve İthal Liste - Tamamı),,,,,,,,,,ANALİZ/GÜN,,1429 / B.Y.S. DİĞER MADENCİLİK VE TAŞOCAKÇILIĞI,,,,690220999012 - %5070 (dahil) arası alumin içeren ateş tuğlaları,GÜMÜŞ,,,,,,,
A000022,ADANA İNCİHAN MAKİNE KİMYA İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,,,,2,Adıyaman,1354,Gölbaşı / Adıyaman,,,Afyonkarahisar,Sandıklı,,,0111.0.22,Keten ve kenevir; sisal keneviri ve diğer tekstil lifleri (ham),0111.0.22-Keten ve kenevir; sisal keneviri ve diğer tekstil lifleri (ham),,,,Yatırım Yeri Tahsisi,Yok,,,,,,,,,,ANALİZ/YIL,,1511 / MEZBAHACILIK; ETİN İŞLENMESİ VE SAKLANMASI,,,,690220999011 - %50'den az alumin içeren ateş tuğlaları,HİDROJEN PEROKSİT KİLOGRAMI,,,,,,,
A000023,ADAŞAL GIDA TURİZM AMBALAJ MALZEMELERİ İMALAT TİCARET LİMİTED ŞİRKETİ,,,,,2,Adıyaman,1425,Kahta,,,Afyonkarahisar,Şuhut,,,0111.0.23,Doğal kauçuk,0111.0.23-Doğal kauçuk,,,,Yatırım Yeri Tahsisi,Var,,,,,,,,,,ANEX,,1512 / BALIK VE BALIK ÜRÜNLERİNİN İŞLENMESİ VE SAKLANMASI,,,,220720001001 - %99 veya daha yüksek saflıkta olanlar,HÜCRE ADEDİ,,,,,,,
A000024,ADELL ARMATÜR VE VANA FABRİKALARI ANONİM ŞİRKETİ,,,,,2,Adıyaman,1592,Samsat,,,Ağrı,Ağrı,,,0111.0.24,"Parfümeride, eczacılıkta v.b. kullanılan bitkiler; haşarat, mantar v.b. öldürücü ilaçların yapımında kullanılan bitkiler","0111.0.24-Parfümeride, eczacılıkta v.b. kullanılan bitkiler; haşarat, mantar v.b. öldürücü ilaçların yapımında kullanılan bitkiler",,,,Faiz Desteği,TL 3 Puan - Döviz 1 Puan (En Fazla 1 Milyon TL yararlanılır)(3. Bölge),,,,,,,,,,APART,,1513 / SEBZE VE MEYVELERİN İŞLENMESİ VE SAKLANMASI,,,,220720001001 - %99 veya daha yüksek saflıkta olanlar,KARAT,,,,,,,
A000025,ADEM KABAN,,,,,2,Adıyaman,1985,Sincik,,,Ağrı,Ağrı Diyadin (Sera) TDİ (Jeotermal),,,0111.0.25,Şeker pancarı tohumu; yem bitkisi tohumları,0111.0.25-Şeker pancarı tohumu; yem bitkisi tohumları,,,,Faiz Desteği,TL 4 Puan - Döviz 1 Puan (En Fazla 1.2 Milyon TL yararlanılır)(4. Bölge),,,,,,,,,,APART ÜNİTE,,1514 / BİTKİSEL VE HAYVANSAL SIVI VE KATI YAĞ İMALATI,,,,"293147000000 - (5Etil2metil2oksido1,3,2dioksafosfinan5il)metil metil metilfosfonat",Kg POTASYUM OKSİD,,,,,,,
A000026,ADEM KOÇ KOÇ GES ENERJİ,,,,,2,Adıyaman,1989,Tut,,,Aksaray,Aksaray,,,0111.0.90,Diğer bitkisel hamaddeler,0111.0.90-Diğer bitkisel hamaddeler,,,,Faiz Desteği,TL 5 Puan - Döviz 2 Puan (En Fazla 1.4 Milyon TL yararlanılır)(5. Bölge),,,,,,,,,,ARAÇ/GÜN,,1520 / SÜT ÜRÜNLERİ İMALATI,,,,"293147000000 - (5Etil2metil2oksido1,3,2dioksafosfinan5il)metil metil metilfosfonat",KG-METRE KARE,,,,,,,
A000027,ADIYAMAN ÖZEL SEVGİ SAĞLIK HİZMETLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,,,,,3,Afyonkarahisar,1108,Afyonkarahisar Merkez,,,Aksaray,Aksaray Eskil Tuz Gölü,,,0112.0.01,"Soğansı, yumru ve kök sebzeler","0112.0.01-Soğansı, yumru ve kök sebzeler",,,,Faiz Desteği,TL 7 Puan - Döviz 2 Puan (En Fazla 1.8 Milyon TL yararlanılır) (6. Bölge),,,,,,,,,,ARAÇ/YIL,,1531 / ÖĞÜTÜLMÜŞ TAHIL ÜRÜNLERİ İMALATI,,,,"293149400000 - (Nitrilotrimethanediyl)tris(phosphonic acid), {ethane1,2diylbis[nitrilobis(methy",KİLOGRAM POTASYUM HİDROKSİT,,,,,,,
A000028,ADO ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ,,,,,3,Afyonkarahisar,1771,Başmakçı,,,Aksaray,Aksaray Gülağaç Gülpınar,,,0112.0.02,Meyvesi yenen sebzeler,0112.0.02-Meyvesi yenen sebzeler,,,,Faiz Desteği,TL 10 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle Yüksek TEknoloji),,,,,,,,,,ARAÇLIK,,1532 / NİŞASTA VE NİŞASTA ÜRÜNLERİNİN İMALATI,,,,"293149400000 - (Nitrilotrimethanediyl)tris(phosphonic acid), {ethane1,2diylbis[nitrilobis(methy",KİLOGRAM POTASYUM OKSİT,,,,,,,
A000029,ADOPEN PLASTİK VE İNŞAAT SANAYİ ANONİM ŞİRKETİ,,,,,3,Afyonkarahisar,1773,Bayat / Afyonkarahisar,,,Aksaray,Aksaray Karkın TDİ (Jeo.Kayn.Sera),,,0112.0.03,Yaprağı yenen sebzeler,0112.0.03-Yaprağı yenen sebzeler,,,,Faiz Desteği,TL 8 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle),,,,,,,,,,AT/YIL,,1533 / HAZIR HAYVAN YEMLERİ İMALATI,,,,293090959062 - ?methyl4methylthiophenethylamine (4MTA),KİLOGRAM-ADET,,,,,,,
A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,,,,3,Afyonkarahisar,1200,Bolvadin,,,Aksaray,Aksaray Ortaköy Yunus Emre,,,0112.0.04,Baklagil sebzeler,0112.0.04-Baklagil sebzeler,,,,Faiz Desteği,TL 8 Puan - Döviz 2 Puan (En Fazla Yatırımın %20'si ve 75 Milyon TL yararlanılır) (Hamle),,,,,,,,,,ATM,,1541 / FIRIN ÜRÜNLERİ İMALATI,,,,700232000000 - 0 oC ile 300 oC'Ier arasındaki ısıda doğrusal genleşme katsayısı 5x10 6/,KİLOGRAM-BAŞ,,,,,,,
A000031,AGA ORMAN ÜRÜNLERİ MADENİ EŞYA GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,,,,3,Afyonkarahisar,1239,Çay,,,Aksaray,Aksaray Sarıyahşi,,,0112.0.05,B.y.s. diğer sebzeler,0112.0.05-B.y.s. diğer sebzeler,,,,Faiz Desteği,TL 5 Puan - Döviz 2 Puan (En Fazla Yatırımın %10'u ve 5 Milyon TL yararlanılır)(Stratejik),,,,,,,,,,AYAK/YIL,,1542 / ŞEKER İMALATI,,,,700232000000 - 0 oC ile 300 oC'Ier arasındaki ısıda doğrusal genleşme katsayısı 5x10 6/,KİLOGRAM-ÇİFT,,,,,,,
A000032,AGES MÜHENDİSLİK ELEKTRİK İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ,,,,,3,Afyonkarahisar,1906,Çobanlar,,,Aksaray,Aksaray Sultanhanı,,,0112.0.06,"Canlı bitkiler; çiçek soğanı, yumru ve kökler, aşı kalemi ve çelikler; mantar tohumu","0112.0.06-Canlı bitkiler; çiçek soğanı, yumru ve kökler, aşı kalemi ve çelikler; mantar tohumu",,,,Faiz Desteği,TL 5 Puan - Döviz 2 Puan (En Fazla Yatırımın %10'u ve 10 Milyon TL yararlanılır)(Bölgesel Öncelik 17-1- aa) ve bb)),,,,,,,,,,BANT/YIL,,"1543 / KAKAO, ÇİKOLATA VE ŞEKERLEME İMALATI",,,,702000300000 - 0 oC ile 300 oC'Ier arasındaki ısıda genleşme katsayısı 5x10 6/ Kelvin'i,KİLOWATT,,,,,,,
A000033,AGROMİLLORA FİDAN ÜRETİM VE PAZARLAMA LİMİTED ŞİRKETİ,,,,,3,Afyonkarahisar,1267,Dazkırı,,,Amasya,Amasya,,,0112.0.07,"Buket, çelenk v.b. yapımında kullanılan kesme çiçek ve çiçek sürgünleri","0112.0.07-Buket, çelenk v.b. yapımında kullanılan kesme çiçek ve çiçek sürgünleri",,,,Faiz Desteği,"TL 7 Puan - Döviz 3 Puan (En az 1.8 Milyon, En Fazla Yatırımın %10 yararlanılır) (Bölgesel Öncelik 17-1-t)",,,,,,,,,,BASKI/GÜN,,"1544 / MAKARNA, ŞEHRİYE, KUSKUS V.B. UNLU MAMÜLLERİN İMALATI",,,,702000300000 - 0 oC ile 300 oC'Ier arasındaki ısıda genleşme katsayısı 5x10 6/ Kelvin'i,KİLOWATT SAAT,,,,,,,
A000034,AĞIRMAN MAKİNA OTOMOTİV YAN SANAYİ VE TİCARET ANONİM ŞİRKETİ,,,,,3,Afyonkarahisar,1281,Dinar,,,Amasya,Amasya Merzifon,,,0112.0.08,Çiçek ve meyve tohumları,0112.0.08-Çiçek ve meyve tohumları,,,,KDV İadesi,Var,,,,,,,,,,BASKI/SAAT,,1549 / BAŞKA YERDE SINIFLANDIRILMAMIŞ GIDA MADDELERİ İMALATI,,,,701342000000 - 00 C ile 300 0C'ler arasındaki ısıda doğrusal genleşme katsayısı,KURUTULMUŞ NET AĞIRLIK KİLOGRAMI,,,,,,,
A000035,AHMED HAC BOZAN VE ENVER HACI BOZAN ADİ ORTAKLIĞI,,,,,3,Afyonkarahisar,1306,Emirdağ,,,Amasya,Suluova,,,0112.0.09,Sebze tohumları,0112.0.09-Sebze tohumları,,,,,,,,,,,,,,,BASKI/YIL,,"1551 / ALKOLLÜ İÇECEKLERİN DAMITILMASI, ARITILMASI VE KARIŞTIRILMASI; MAYALI MADDELERDEN ETİL ALKOL ÜRETİMİ",,,,220299990000 - 04.01 iIa 04.04 pozisyonlarındaki ürünlerden elde edilen katı yağ,METİL AMİNLERİN KİLOGRAMI,,,,,,,
A000036,AHMET ÖLMEZ,,,,,3,Afyonkarahisar,1923,Evciler,,,Amasya,Suluova Besi,,,0113.0.01,Sofralık üzüm,0113.0.01-Sofralık üzüm,,,,,,,,,,,,,,,BAŞ,,1552 / ŞARAP İMALATI,,,,220299910000 - 04.01 ila 04.04 pozisyonlarındaki ürünlerden elde edilen,METRE KÜP,,,,,,,
A000037,AHMET ÜNLÜ,,,,,3,Afyonkarahisar,1944,Hocalar,,,Ankara,Anadolu,,,0113.0.02,Diğer yaş üzüm,0113.0.02-Diğer yaş üzüm,,,,,,,,,,,,,,,BAŞ/DEVRE,,1553 / BİRA VE MALT İMALATI,,,,220299950000 - 04.01 ila 04.04 pozisyonlarındaki ürünlerden elde edilen katı yağ,OTV birim fiyatı,,,,,,,
