;;;;
;İL KOD;İLADI;İLCEKOD;İLCEADI
;57;Sinop;1981;Saraydüzü
;57;Sinop;1627;Sinop Merkez
;57;Sinop;1693;Türkeli
;58;Sivas;1870;Akıncılar
;58;Sivas;1875;Altınyayla / Sivas
;58;Sivas;1282;Divriği
;58;Sivas;1913;Doğanşar
;58;Sivas;1342;Gemerek
;58;Sivas;1927;Gölova
;58;Sivas;1373;Gürün
;58;Sivas;1376;Hafik
;58;Sivas;1407;İmranlı
;58;Sivas;1431;Kangal
;58;Sivas;1484;Koyulhisar
;58;Sivas;1628;Sivas Merkez
;58;Sivas;1646;Suşehri
;58;Sivas;1650;Şarkışla
;58;Sivas;1991;Ulaş
;58;Sivas;1731;Yıldızeli
;58;Sivas;1738;Zara
;59;Tekirdağ;1250;Çerkezköy
;59;Tekirdağ;1258;Çorlu
;59;Tekirdağ;1388;Hayrabolu
;59;Tekirdağ;1511;Malkara
;59;Tekirdağ;1825;Marmaraereğlisi
;59;Tekirdağ;1538;Muratlı
;59;Tekirdağ;1596;Saray / Tekirdağ
;59;Tekirdağ;1652;Şarköy
;59;Tekirdağ;1673;Tekirdağ Merkez
;60;Tokat;1129;Almus
;60;Tokat;1151;Artova
;60;Tokat;1883;Başçiftlik
;60;Tokat;1308;Erbaa
;60;Tokat;1545;Niksar
;60;Tokat;1834;Pazar / Tokat
;60;Tokat;1584;Reşadiye
;60;Tokat;1987;Sulusaray
;60;Tokat;1679;Tokat Merkez
;60;Tokat;1690;Turhal
;60;Tokat;1858;Yeşilyurt / Tokat
;60;Tokat;1740;Zile
;61;Trabzon;1113;Akçaabat
;61;Trabzon;1141;Araklı
;61;Trabzon;1150;Arsin
;61;Trabzon;1775;Beşikdüzü
;61;Trabzon;1896;Çarşıbaşı
;61;Trabzon;1244;Çaykara
;61;Trabzon;1909;Dernekpazarı
;61;Trabzon;1917;Düzköy
;61;Trabzon;1942;Hayrat
;61;Trabzon;1966;Köprübaşı / Trabzon
;61;Trabzon;1507;Maçka
;61;Trabzon;1548;Of
;61;Trabzon;1647;Sürmene
;61;Trabzon;1842;Şalpazarı
;61;Trabzon;1681;Tonya
;61;Trabzon;1686;Trabzon Merkez
;61;Trabzon;1709;Vakfıkebir
;61;Trabzon;1732;Yomra
;62;Tunceli;1247;Çemişgezek
;62;Tunceli;1397;Hozat
;62;Tunceli;1518;Mazgirt
;62;Tunceli;1541;Nazımiye
;62;Tunceli;1562;Ovacık / Tunceli
;62;Tunceli;1574;Pertek
;62;Tunceli;1581;Pülümür
;62;Tunceli;1688;Tunceli Merkez
;63;Şanlıurfa;1115;Akçakale
;63;Şanlıurfa;1194;Birecik
;63;Şanlıurfa;1209;Bozova
;63;Şanlıurfa;1220;Ceylanpınar
;63;Şanlıurfa;1378;Halfeti
;63;Şanlıurfa;1800;Harran
;63;Şanlıurfa;1393;Hilvan
;63;Şanlıurfa;1630;Siverek
;63;Şanlıurfa;1643;Suruç
;63;Şanlıurfa;1702;Şanlıurfa Merkez
;63;Şanlıurfa;1713;Viranşehir
;64;Uşak;1170;Banaz
;64;Uşak;1323;Eşme
;64;Uşak;1436;Karahallı
;64;Uşak;1629;Sivaslı
;64;Uşak;1697;Ulubey / Uşak
;64;Uşak;1704;Uşak Merkez
;65;Van;1770;Bahçesaray
;65;Van;1175;Başkale
;65;Van;1786;Çaldıran
;65;Van;1236;Çatak
;65;Van;1918;Edremit / Van
;65;Van;1309;Erciş
;65;Van;1350;Gevaş
;65;Van;1372;Gürpınar
;65;Van;1533;Muradiye
;65;Van;1565;Özalp
;65;Van;1980;Saray / Van
;65;Van;1710;Van Merkez
;66;Yozgat;1117;Akdağmadeni
;66;Yozgat;1877;Aydıncık / Yozgat
;66;Yozgat;1198;Boğazlıyan
;66;Yozgat;1895;Çandır
;66;Yozgat;1242;Çayıralan
;66;Yozgat;1245;Çekerek
;66;Yozgat;1952;Kadışehri
;66;Yozgat;1982;Saraykent
;66;Yozgat;1602;Sarıkaya
;66;Yozgat;1635;Sorgun
;66;Yozgat;1655;Şefaatli
;66;Yozgat;1998;Yenifakılı
;66;Yozgat;1726;Yerköy
;66;Yozgat;1733;Yozgat Merkez
;67;Zonguldak;1758;Alaplı
;67;Zonguldak;1240;Çaycuma
;67;Zonguldak;1276;Devrek
;67;Zonguldak;1313;Ereğli / Zonguldak
;67;Zonguldak;1926;Gökçebey
;67;Zonguldak;1741;Zonguldak Merkez
;68;Aksaray;1860;Ağaçören
;68;Aksaray;1120;Aksaray Merkez
;68;Aksaray;1921;Eskil
;68;Aksaray;1932;Gülağaç
;68;Aksaray;1861;Güzelyurt
;68;Aksaray;1557;Ortaköy
;68;Aksaray;1866;Sarıyahşi
;69;Bayburt;1767;Aydıntepe
;69;Bayburt;1176;Bayburt Merkez
;69;Bayburt;1788;Demirözü
;70;Karaman;1768;Ayrancı
;70;Karaman;1884;Başyayla
;70;Karaman;1316;Ermenek
;70;Karaman;1439;Karaman Merkez
;70;Karaman;1862;Kazımkarabekir
;70;Karaman;1983;Sarıveliler
;71;Kırıkkale;1880;Bahşili
;71;Kırıkkale;1882;Balışeyh
;71;Kırıkkale;1901;Çelebi
;71;Kırıkkale;1268;Delice
;71;Kırıkkale;1954;Karakeçili
;71;Kırıkkale;1463;Keskin
;71;Kırıkkale;1469;Kırıkkale Merkez
;71;Kırıkkale;1638;Sulakyurt
;71;Kırıkkale;1992;Yahşihan
;72;Batman;1174;Batman Merkez
;72;Batman;1184;Beşiri
;72;Batman;1345;Gercüş
;72;Batman;1941;Hasankeyf
;72;Batman;1487;Kozluk
;72;Batman;1607;Sason
;73;Şırnak;1189;Beytüşşebap
;73;Şırnak;1223;Cizre
;73;Şırnak;1931;Güçlükonak
;73;Şırnak;1403;İdil
;73;Şırnak;1623;Silopi
;73;Şırnak;1661;Şırnak Merkez
;73;Şırnak;1698;Uludere
;74;Bartın;1761;Amasra
;74;Bartın;1172;Bartın Merkez
;74;Bartın;1496;Kurucaşile
;74;Bartın;1701;Ulus
;75;Ardahan;1144;Ardahan Merkez
;75;Ardahan;1252;Çıldır
;75;Ardahan;2008;Damal
;75;Ardahan;1356;Göle
;75;Ardahan;1380;Hanak
;75;Ardahan;1579;Posof
;76;Iğdır;1142;Aralık
;76;Iğdır;1398;Iğdır Merkez
;76;Iğdır;2011;Karakoyunlu
;76;Iğdır;1692;Tuzluca
;77;Yalova;2019;Altınova
;77;Yalova;2020;Armutlu
;77;Yalova;2021;Çınarcık
;77;Yalova;2022;Çiftlikköy
;77;Yalova;2026;Termal
;77;Yalova;1716;Yalova Merkez
;78;Karabük;1296;Eflani
;78;Karabük;1321;Eskipazar
;78;Karabük;1433;Karabük Merkez
;78;Karabük;1561;Ovacık / Karabük
;78;Karabük;1587;Safranbolu
;78;Karabük;1856;Yenice / Karabük
;79;Kilis;2023;Elbeyli
;79;Kilis;1476;Kilis Merkez
;79;Kilis;2024;Musabeyli
;79;Kilis;2025;Polateli
;80;Osmaniye;1165;Bahçe
;80;Osmaniye;1743;Düziçi
;80;Osmaniye;2027;Hasanbeyli
;80;Osmaniye;1423;Kadirli
;80;Osmaniye;1560;Osmaniye Merkez
;80;Osmaniye;2028;Sumbas
;80;Osmaniye;2029;Toprakkale
;81;Düzce;1116;Akçakoca
;81;Düzce;1784;Cumayeri
;81;Düzce;1905;Çilimli
;81;Düzce;1292;Düzce Merkez
;81;Düzce;1794;Gölyaka
;81;Düzce;2017;Gümüşova
;81;Düzce;2031;Kaynaşlı
;81;Düzce;1730;Yığılca
