GTIP KODU,AÇIKLAMASI
290919900038,"1,1,1,3,3,3hekzafloropropan2yl metil eter (HFE356mm1)"
290346000014,"1,1,1,3,3,3 hekzaflorpropan (HFC236fa)"
290348000011,"1,1,1,3,3 pentaflorbütan (HFC365mfc)"
290347000011,"1,1,1,3,3 Pentafloropropan (HFC245fa)"
382714000000,"1,1,1trikloroetan (metil kloroform) içerenler"
382714000000,"1,1,1trikloroetan (metil kloroform) içerenler"
290344000013,"1,1,2 trifloretan (HFC143)"
290344000013,"1,1,2 trifloretan (HFC143)"
290345000012,"1,1,2,2 tetrafloretan (HFC134)"
290345000012,"1,1,2,2 tetrafloretan (HFC134)"
290347000012,"1,1,2,2,3 pentaflorpropan (HFC245ca)"
290919900024,"1,1,2,2,3,3hekzafloropropil metil eter (HFE356pcc3)"
290919900024,"1,1,2,2,3,3hekzafloropropil metil eter (HFE356pcc3)"
290919900034,"1,1,2,2,3,3hekzafloropropil triflorometil eter (HFE329mcc2)"
290919900034,"1,1,2,2,3,3hekzafloropropil triflorometil eter (HFE329mcc2)"
290347000012,"1,1,2,2,3 pentaflorpropan (HFC245ca)"
290919900021,"1,1,2,2tetrafloro1metoksi etan (HFE254cb2)"
290919900021,"1,1,2,2tetrafloro1metoksi etan (HFE254cb2)"
290919900023,"1,1,2,2tetrafloroetil 2,2,2trifloroetil eter (HFE347pcf2)"
290919900023,"1,1,2,2tetrafloroetil 2,2,2trifloroetil eter (HFE347pcf2)"
290919900037,"1,1,2,3,3,3hekzafloropropil metil eter (HFE356mec3)"
290919900037,"1,1,2,3,3,3hekzafloropropil metil eter (HFE356mec3)"
292119400000,"1, 1, 3, 3- TETRAMETİLBÜTTİLAMİN"
290369190011,"1,1Dibromoetan"
290369190011,"1,1Dibromoetan"
290343000013,"1,1 Difloretan (HFC152a)"
290930350000,"1, 2-BİS (2, 4, 6-TRİBROMOFENOKSİ) ETAN"
290129009013,"1,2 Butadien"
290129009013,"1,2 Butadien"
290919900030,"1,2,2,2tetrafloroetil triflorometil eter (HFE227ea)"
290919900030,"1,2,2,2tetrafloroetil triflorometil eter (HFE227ea)"
290919900027,"1,2bis(diflorometoksi)1,1,2,2tetrafloro etan (HFE338pcc13)"
290919900027,"1,2bis(diflorometoksi)1,1,2,2tetrafloro etan (HFE338pcc13)"
290389100000,"1,2dibromo4(1,2dibromoetil)siklohekzan; tetrabromsiklooktan"
290389100000,"1,2dibromo4(1,2dibromoetil)siklohekzan; tetrabromsiklooktan"
290343000012,"1,2difloroetan (HFC152)"
290343000012,"1,2difloroetan (HFC152)"
290124000000,"1,3 - BUTADİEN VE İZOPREN; DOYMAMIŞ (ASİKLİK HİDROKARBONLAR)"
290124000000,"1,3 - BUTADİEN VE İZOPREN; DOYMAMIŞ (ASİKLİK HİDROKARBONLAR)"
293299005013,"1,3 Dioksalan"
293299005013,"1,3 Dioksalan"
293299005011,"1,3 Dioksan"
293299005011,"1,3 Dioksan"
293090959025,"1,3bis (2kloretiltiyo)npropan"
293090989025,"1,3-BİS (2-KLORETİLTİYO)-N-PROPAN"
293359200000,"1,4 - DİAZABİSİKLO (2,2,2) OKTAN (TRİETİLENDİAMİN)"
293359200000,"1,4 - DİAZABİSİKLO (2,2,2) OKTAN (TRİETİLENDİAMİN)"
293299005012,"1,4 Dioksan (dietilendioksit)"
293299005012,"1,4 Dioksan (dietilendioksit)"
293090959026,"1,4bis (2kloretiltiyo)nbütan"
293090989026,"1,4-BİS (2-KLORETİLTİYO)-N-BÜTAN"
291469100000,"1,4-NAFTAKİNON"
291469100000,"1,4-NAFTAKİNON"
293090959045,"1,5bis (2kloretiltiyo)npentan"
293090989045,"1,5-BİS (2-KLORETİLTİYO)-N-PENTAN"
870290900000,10 VEYA DAHA FAZLA KİŞİ TAŞIMAYA MAHSUS (SÜRÜCÜ DAHİL) DİĞER MOTORLARLA MÜCEHHEZ TAŞITLAR
970210000000,100 yaşını geçenler
970310000000,100 yaşını geçenler
970531000000,100 yaşını geçenler
970210000000,100 yaşını geçenler
970310000000,100 yaşını geçenler
970531000000,100 yaşını geçenler
854449990000,1000 V.luk gerilim için olanlar
520527000000,"106,38 Desiteksten az, 83,33 (dahil) desiteksten fazla"
853650070000,11 A. i geçmeyen akım için olan elektromekanik ani hareketli ( snapaction ) anahtarlar
853630900000,125 A.i geçen akım için olanlar
520615000000,125 Desiteksten az olanlar (metrik numarası 80'i geçen)
520625000000,125 Desiteksten az olanlar (metrik numarası 80'i geçen)
520526000000,"125 Desiteksten az, 106,38 (dahil) desiteksten fazla olanlar"
520515100000,"125 Desiteksten az, 83,33 (dahil) desiteksten fazla olanlar"
382732000011,"142B [(Klorodifloroetan), R22 (Klorodiflorometan)] karışımı"
382732000011,"142B [(Klorodifloroetan), R22 (Klorodiflorometan)] karışımı"
853630300000,16 A.i geçen fakat 125 A.i geçmeyen akım için olanlar
853630100000,16 A.i geçmeyen akım için olanlar
030249110000,16.04 pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030231100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030232100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030233100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030234100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030235110000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030235910000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030236100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030239200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030289210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030341100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030342200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030343100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030344100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030345120000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030345910000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030346100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030359210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030389210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030349200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar:
890110100011,18 Gros tonilatoyu geçmeyen gezinti gemileri
520524000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520614000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520624000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520514000000,"192,31 Desiteksten az,125 (dahil) desiteksten fazla olanlar"
293359950021,1- AMİNO- 4- METİLPİPERAZİN
293332000014,1boc4anilinopiperidin (1boc4AP)
293332000014,1boc4anilinopiperidin (1boc4AP)
290919900026,"1etoksi1,1,2,2,3,3,4,4,4nonaflorobütan etil nonaflorobütil eter (HFE569sf2)"
290919900026,"1etoksi1,1,2,2,3,3,4,4,4nonaflorobütan etil nonaflorobütil eter (HFE569sf2)"
293319900011,1- FENİL- 3- PİRAZOLİDON
291560110000,"1 İzopropil 2,2 dimetiltrimetilen diizobütirat"
291030000000,"1 klor 2,3 epoksipropan (epiklorohidrin)"
390729910000,"1Kloro2,3epoksipropan ile etilen oksit kopolimeri"
390729910000,"1Kloro2,3epoksipropan ile etilen oksit kopolimeri"
290715100000,1 Naftol (Alfa naftol)
290420000026,1Phenyl2nitropropene
290420000026,1Phenyl2nitropropene
290949110000,2 (2 Kloroetoksi) etanol
293339400000,"2- BÜTOKSİETİL (3, 5, 6- TRİKLORO- 2- PRİDİLOKSİ) ASETAT"
293339400000,"2- BÜTOKSİETİL (3, 5, 6- TRİKLORO- 2- PRİDİLOKSİ) ASETAT"
290541000000,"2 Etil 2 (hidroksimetil) propan 1,3 diol (trimetilolpropan)"
290541000000,"2 Etil 2 (hidroksimetil) propan 1,3 diol (trimetilolpropan)"
293212000000,2 furaldehit (furfuraldehit)
293339350000,"2- HİDROKSİETİLAMONYUM- 3, 6- DİKLOROPRİDİN- 2- KARBOKSİLAT"
293339350000,"2- HİDROKSİETİLAMONYUM- 3, 6- DİKLOROPRİDİN- 2- KARBOKSİLAT"
293379000012,2- HİDROKSİKİNOLİN (KARBOSTİRİL)
845811410011,2 lineer eksenli olanlar
845811410011,2 lineer eksenli olanlar
845811410012,2 lineer ve 1 döner eksenli olanlar
845811410012,2 lineer ve 1 döner eksenli olanlar
292145000021,2 Naftilamin (beta naftilamin)
292145000021,2 Naftilamin (beta naftilamin)
292145000022,2 Naftilaminin tuzları
292145000022,2 Naftilaminin tuzları
291300009011,2- NİTROBENZALDEHİT
290930902000,"2- TERT- BÜTİL- 5- METİL- 4,6- DİNİTROANİSOL (AMBER MİSKİ)"
293060000000,"2(N,NDietilamino) etanetiyol"
293060000000,"2(N,NDietilamino) etanetiyol"
292113000000,"2(N,NDietilamino) etil klorür hidroklorür"
292113000000,"2(N,NDietilamino) etil klorür hidroklorür"
292114000000,"2(N,NDiizopropilamino) etil klorür hidroklorür"
292114000000,"2(N,NDiizopropilamino) etil klorür hidroklorür"
292218000000,"2(N,NDiizopropilamino)etanol"
292218000000,"2(N,NDiizopropilamino)etanol"
293010000000,"2(N,NDimetilamino) etanetiyol"
293010000000,"2(N,NDimetilamino) etanetiyol"
292112000000,"2(N,NDimetilamino) etil klorür hidroklorür"
292112000000,"2(N,NDimetilamino) etil klorür hidroklorür"
320890110000,"2, 2 DİETANOL VE 4, 4 -METİLENDİSİKLOHEKZİL DİİOZOSİYANAT POLİÜRETANIN N, N-DİMETİLASETAMİD DE POLİMER ORANI>=%48"
292700000023,"2, 2- DİMETİL 2, 2- AZODİPROPİONİTRİL (AIBN)"
290410000016,"2, 2- DİNAFTİLMETAN- 3, 3- DİSÜLFONİK ASİT VE TUZLARI"
390950100000,"2, 2-DİETANOL VE 4, 4-METİLENDİSİKLOHEKZİLEN DİİZOSİYANAT POL.N, N-DİMETİL ASETAMİD ÇÖZ.(POLİMER=>%50) (İLK ŞEKİLLERDE)"
290539300000,"2, 4, 7, 9 - TETRAMETİLDEC - 5 - YNE - 4,7 - DİOL"
291819400000,"2,2 - BİS HİDROKSİMETİL  PROPİYONİK ASİT"
290941000000,"2,2  -OKSİDİETANOL (DİETİLEN GLİKOL, DİGOL)"
320890110000,"2, 2 DİETANOL VE 4, 4 -METİLENDİSİKLOHEKZİL DİİOZOSİYANAT POLİÜRETANIN N, N-DİMETİLASETAMİD DE POLİMER ORANI>=%48"
390950100000,"2, 2-DİETANOL VE 4, 4-METİLENDİSİKLOHEKZİLEN DİİZOSİYANAT POL.N, N-DİMETİL ASETAMİD ÇÖZ.(POLİMER=>%50) (İLK ŞEKİLLERDE)"
291819400000,"2,2 - BİS HİDROKSİMETİL  PROPİYONİK ASİT"
290941000000,"2,2  -OKSİDİETANOL (DİETİLEN GLİKOL, DİGOL)"
293090400000,"2,2 -TİODİETİL BİS [3 - (3,5 - Dİ - TERT - BUTİL - 4 - HİDROKSİFENİL) PROPİYONAT]"
290919900032,"2,2,2trifloroetil triflorometil eter (HFE236fa)"
290919900032,"2,2,2trifloroetil triflorometil eter (HFE236fa)"
290559989012,"2,2,3,3,3pentafloropropanol"
290559989012,"2,2,3,3,3pentafloropropanol"
381231000000,"2,2,4trimetil1,2 dihidroquinoline (TMQ) oligomerlerinin karışımları"
381231000000,"2,2,4trimetil1,2 dihidroquinoline (TMQ) oligomerlerinin karışımları"
290559910000,"2,2-BİS (BROMOMETİL) PROPANDİOL"
290559910000,"2,2-BİS (BROMOMETİL) PROPANDİOL"
291817000000,"2,2Difenil2hidroksiasetik asit (benzilik asit)"
291817000000,"2,2Difenil2hidroksiasetik asit (benzilik asit)"
290919900020,"2,2difloroetil triflorometil eter (HFE245fa2)"
290919900020,"2,2difloroetil triflorometil eter (HFE245fa2)"
292700000023,"2, 2- DİMETİL 2, 2- AZODİPROPİONİTRİL (AIBN)"
290410000016,"2, 2- DİNAFTİLMETAN- 3, 3- DİSÜLFONİK ASİT VE TUZLARI"
293090400000,"2,2 -TİODİETİL BİS [3 - (3,5 - Dİ - TERT - BUTİL - 4 - HİDROKSİFENİL) PROPİYONAT]"
290351000000,"2,3,3,3Tetraflorpropen (HFO1234yf), 1,3,3,3tetraflorpropen"
290351000000,"2,3,3,3Tetraflorpropen (HFO1234yf), 1,3,3,3tetraflorpropen"
290399100000,"2,3,4,5,6Pentabrometilbenzen"
290399100000,"2,3,4,5,6Pentabrometilbenzen"
293339200000,"2,3,5,6 Tetrakloropridin"
293339200000,"2,3,5,6 Tetrakloropridin"
290420000015,"2,4 Dinitrotoluen"
290420000015,"2,4 Dinitrotoluen"
291891000000,"2,4,5T (ISO)(2,4,5 trikloropenoksiasetik asit), bunun tuzları ve"
291891000000,"2,4,5T (ISO)(2,4,5 trikloropenoksiasetik asit), bunun tuzları ve"
290420000023,"2,4,6 trinitrotoluen (TNT)"
290420000023,"2,4,6 trinitrotoluen (TNT)"
293146000000,"2,4,6tripropil1,3,5,2,4,6trioksatrifosfinan 2,4,6trioksit"
293146000000,"2,4,6tripropil1,3,5,2,4,6trioksatrifosfinan 2,4,6trioksit"
290539300000,"2, 4, 7, 9 - TETRAMETİLDEC - 5 - YNE - 4,7 - DİOL"
293399500000,"2,4Ditertbutil6(5klorbenzotriazol2yl) fenol"
293399500000,"2,4Ditertbutil6(5klorbenzotriazol2yl) fenol"
293359950022,"2,5- DİMETİL PİPERAZİN"
290729008012,"2,5- DİMETİLHİDROKSİKİNON (2,5 - DİMETİL - KİNON)"
293359950022,"2,5- DİMETİL PİPERAZİN"
290729008012,"2,5- DİMETİLHİDROKSİKİNON (2,5 - DİMETİL - KİNON)"
293369402000,"2,6 Ditertbutil4 [4,6bis (oktiltiyo)1,3,5triazi2ylamino] fenol"
293369402000,"2,6 Ditertbutil4 [4,6bis (oktiltiyo)1,3,5triazi2ylamino] fenol"
291899400000,"2,6-DİMETOKSİBENZOİK ASİT, DİCAMBA (ISO), SODYUM FENOKSİASETAT"
291899400000,"2,6-DİMETOKSİBENZOİK ASİT, DİCAMBA (ISO), SODYUM FENOKSİASETAT"
871160100000,"2/3/4 TEKERLEKLİ, ELEKTRİK MOTORUNDAN TAHRİKLİ, PEDAL YARDIMLI TAŞITLAR; SÜREKLİ NOMİNAL GÜCÜ <= 250 WATT"
270799110000,"200°C ye kadar sıcaklıkta,hacim itibariyle % 90 veya daha fazla"
290949110000,2 (2 Kloroetoksi) etanol
520513000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520523000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520613000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520623000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
640351110000,24 cm. den az olanlar
640351910000,24 cm. den az olanlar
640359310000,24 cm. den az olanlar
640359910000,24 cm. den az olanlar
640391110000,24 cm. den az olanlar
640391910000,24 cm. den az olanlar
640399310000,24 cm. den az olanlar
640399910000,24 cm. den az olanlar
731100111000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100131000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100191000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100911000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100991000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
970610000000,250 yaşını geçenler
970610000000,250 yaşını geçenler
271019150000,2710.19.11.00 alt pozisyonunda belirtilen işlemlerden başka
271019350000,2710.19.31.00 alt pozisyonunda belirtilen işlemlerden başka
271019550000,2710.19.51.00 Alt pozisyonunda belirtilen işlemlerden başka
271019750000,2710.19.71.00 alt pozisyonunda belirtilen işlemlerden başka
271112930000,2711.12.91.00 Alt pozisyonlarında belirtilen işlemlerden
271113300000,2711.13.10.00 Alt pozisyonunda belirtilen işlemden başka bir
271290330000,2712.90.31.00 Alt pozisyonunda belirtilen işlemden başka bir
530890120000,"277,8 Desiteks veya daha fazla olanlar (metrik numarası 36'yı"
530890190000,"277,8 Desiteksten az olanlar (metrik numarası 36 'yı geçenler)"
530610500000,"277,8 Desiteksten az olanlar (metrik numarası 36'yı geçenler)"
270799910000,28.03 Pozisyonundaki ürünlerin imaline mahsus olanlar
271390100000,28.03 Pozisyonundaki ürünlerin imaline mahsus olanlar
284590900019,"28.44 POZİSYONU DIŞINDA KALAN DİĞER İZOTOPLAR, BUNLARIN ORGANİK VE ANORGANİK DİĞER BİLEŞİKLERİ"
382731000000,2903.41 ila 2903.48 alt pozisyonlarındaki maddeleri içerenler
382731000000,2903.41 ila 2903.48 alt pozisyonlarındaki maddeleri içerenler
292423001000,2Asetamidobenzoik asit (Nasetilanthranilik asit)
292423001000,2Asetamidobenzoik asit (Nasetilanthranilik asit)
292423009000,2-ASETAMİDOBENZOİK ASİT (N-ASETİLANTHRANİLİK ASİT) TUZLARI
390690200000,2Diizopropilaminoetil metil akrilat ile desil metil akrilatın kopolimerinin
390690200000,2Diizopropilaminoetil metil akrilat ile desil metil akrilatın kopolimerinin
291539009913,2Etil hekzil asetat
291539009913,2Etil hekzil asetat
291539009911,2Etoksietil asetat
291539009911,2Etoksietil asetat
293212000000,2 furaldehit (furfuraldehit)
293379000012,2- HİDROKSİKİNOLİN (KARBOSTİRİL)
290379300054,"2klor3,3,3triflorprop1en (HFC1233xf)"
290379300054,"2klor3,3,3triflorprop1en (HFC1233xf)"
293090959022,2Kloretil klormetil sülfür
293090989022,2-KLORETİL KLORMETİL SÜLFÜR
291469800013,2Metilantrakinon
291469800013,2Metilantrakinon
290514100000,2Metilpropan2ol (tertbütilalkol)
290514100000,2Metilpropan2ol (tertbütilalkol)
291300009011,2- NİTROBENZALDEHİT
290930902000,"2- TERT- BÜTİL- 5- METİL- 4,6- DİNİTROANİSOL (AMBER MİSKİ)"
382499850000,3 - (1 - ETİL - 1 METİLPROPİL) İZOKSAZOL - 5 - YLAMİN (TOLÜEN İÇİNDE ÇÖZELTİ HALİNDE)
290129009014,"3 - METİL- 1,2- BUTADİEN; DOYMAMIŞ"
382499850000,3 - (1 - ETİL - 1 METİLPROPİL) İZOKSAZOL - 5 - YLAMİN (TOLÜEN İÇİNDE ÇÖZELTİ HALİNDE)
845811410013,3 lineer ve 1 döner eksenli olanlar
845811410013,3 lineer ve 1 döner eksenli olanlar
521112000000,3 'lü veya 4 'lü dimi (kırık dimi dahil)
290129009014,"3 - METİL- 1,2- BUTADİEN; DOYMAMIŞ"
293339990011,3- PİKOLİN (METİLPİRİDİN)
290420000018,"3- TERT- BÜTİL- 2,6- DİNİTRO- P- SİMEN (SİMEN MİSKİ)"
293339450000,"3, 5- DİKLORO- 2, 4, 6- TRİFLOROPRİDİN"
292519200000,"3,3 ,4,4 ,5,5 ,6,6  -OKTABROM -N,N  -ETİLEN DİFTALİMİD; N,N  - ETİLENBİS (4,5 - DİBROMHEKZAHİDRO - 3,6 -METANOFTALİMİD)"
292519200000,"3,3 ,4,4 ,5,5 ,6,6  -OKTABROM -N,N  -ETİLEN DİFTALİMİD; N,N  - ETİLENBİS (4,5 - DİBROMHEKZAHİDRO - 3,6 -METANOFTALİMİD)"
290519009015,"3,3Dimetil bütan2ol (pinokonilalkol)"
290519009015,"3,3Dimetil bütan2ol (pinokonilalkol)"
293299009012,"3,4(Methylenedioxy)phenylacetonitrile (1,3Benzodioxole5acetonitrile)"
293299009012,"3,4(Methylenedioxy)phenylacetonitrile (1,3Benzodioxole5acetonitrile)"
293299009013,"3,4MDP2P methyl glycidate (PMK glycidate)"
293299009013,"3,4MDP2P methyl glycidate (PMK glycidate)"
293299009014,"3,4MDP2P methyl glycidic acid (PMK glycidic acid)"
293299009014,"3,4MDP2P methyl glycidic acid (PMK glycidic acid)"
293339450000,"3, 5- DİKLORO- 2, 4, 6- TRİFLOROPRİDİN"
293339250000,"3,6 Dikloropridin 2 karboksilik asit"
293339250000,"3,6 Dikloropridin 2 karboksilik asit"
293148000000,"3,9Dimetil2,4,8,10tetraoksa3,9difosfaspiro[5.5] undekan 3,9dioksit"
293148000000,"3,9Dimetil2,4,8,10tetraoksa3,9difosfaspiro[5.5] undekan 3,9dioksit"
293590300000,"3{1[(7(Hekzadesilsulfonilamino)1Hindol3yl]3oxo1 H, 3Hnafto"
293590300000,"3{1[(7(Hekzadesilsulfonilamino)1Hindol3yl]3oxo1 H, 3Hnafto"
382499610000,30.04 Pozisyonundaki insanlar için kullanılan ilaçların imaline mahsus
850422901000,35 000 volt ve 2000 kVA.dan az olanlar
850422902000,35 000 volt ve 2000 kVA.yı geçen fakat 10 000 kVA.yı geçmeyenler
391400000000,39.01 ila 39.13 Pozisyonlarında yer alan polimer esasIı iyon
293335000000,3KİNÜKLİDİNOL
293335000000,3KİNÜKLİDİNOL
520859100000,3'lü veya 4'lü dimi ( kırık dimi dahil)
520813000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520823000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520833000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520843000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520912000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520922000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520932000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520952000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521032000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521132000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521152000000,3'lü veya 4'lü dimi (kırık dimi dahil)
551323100000,3'lü veya 4'lü dimi (kırık dimi dahil)
520943000000,3'lü veya 4'lü dimiden diğer mensucat (kırık dimi dahil)
