GTIP KODU,AÇIKLAMASI
520625000000,125 Desiteksten az olanlar (metrik numarası 80'i geçen)
520526000000,"125 Desiteksten az, 106,38 (dahil) desiteksten fazla olanlar"
520515100000,"125 Desiteksten az, 83,33 (dahil) desiteksten fazla olanlar"
382732000011,"142B [(Klorodifloroetan), R22 (Klorodiflorometan)] karışımı"
853630300000,16 A.i geçen fakat 125 A.i geçmeyen akım için olanlar
853630100000,16 A.i geçmeyen akım için olanlar
030249110000,16.04 pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030231100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030232100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030233100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030234100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030235110000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030235910000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030236100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030239200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030289210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030341100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030342200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030343100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030344100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030345120000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030345910000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030346100000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030359210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030389210000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar
030349200000,16.04 Pozisyonunda yer alan ürünlerin imalinde kullanılanlar:
890110100011,18 Gros tonilatoyu geçmeyen gezinti gemileri
520524000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520614000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520624000000,"192,31 Desiteksten az, 125 (dahil) desiteksten fazla olanlar"
520514000000,"192,31 Desiteksten az,125 (dahil) desiteksten fazla olanlar"
293359950021,1Amino4metilpiperazin
293332000014,1boc4anilinopiperidin (1boc4AP)
290919900026,"1etoksi1,1,2,2,3,3,4,4,4nonaflorobütan etil nonaflorobütil eter (HFE569sf2)"
293319900011,1Fenil3pirazolidon
390729910000,"1Kloro2,3epoksipropan ile etilen oksit kopolimeri"
290420000026,1Phenyl2nitropropene
290949110000,2 (2 Kloroetoksi) etanol
293339400000,"2 Bütoksietil (3,5,6 trikloro 2 pridiloksi) asetat"
290541000000,"2 Etil 2 (hidroksimetil) propan 1,3 diol (trimetilolpropan)"
293212000000,2 furaldehit (furfuraldehit)
293339350000,"2 Hidroksietilamonyum 3,6 dikloropridin 2 karboksilat"
845811410011,2 lineer eksenli olanlar
845811410012,2 lineer ve 1 döner eksenli olanlar
292145000021,2 Naftilamin (beta naftilamin)
292145000022,2 Naftilaminin tuzları
293060000000,"2(N,NDietilamino) etanetiyol"
292113000000,"2(N,NDietilamino) etil klorür hidroklorür"
292114000000,"2(N,NDiizopropilamino) etil klorür hidroklorür"
292218000000,"2(N,NDiizopropilamino)etanol"
293010000000,"2(N,NDimetilamino) etanetiyol"
292112000000,"2(N,NDimetilamino) etil klorür hidroklorür"
320890110000,"2,2' (tert butilimino) dietanol ve 4,4' metilendisiklohekzil"
390950100000,"2,2' (tertbutilimino) dietanol ve 4,4metilendisiklohekzilen diizosiyanat"
291819400000,"2,2 Bis (hidroksimetil) propiyonik asit"
290941000000,"2,2' oksidietanol (dietilen glikol, digol)"
290919900032,"2,2,2trifloroetil triflorometil eter (HFE236fa)"
290559989012,"2,2,3,3,3pentafloropropanol"
381231000000,"2,2,4trimetil1,2 dihidroquinoline (TMQ) oligomerlerinin karışımları"
290559910000,"2,2bis(bromometil)propandiol"
291817000000,"2,2Difenil2hidroksiasetik asit (benzilik asit)"
290919900020,"2,2difloroetil triflorometil eter (HFE245fa2)"
292700000023,"2,2'Dimetil 2,2'azodipropionitril (AIBN)"
290410000016,"2,2Dinaftilmetan3,3disülfonik asit ve tuzları"
293090400000,"2,2'Tiodietil bis [3 (3,5 di tert butil 4 hidroksifenil) propiyonat]"
290351000000,"2,3,3,3Tetraflorpropen (HFO1234yf), 1,3,3,3tetraflorpropen"
290399100000,"2,3,4,5,6Pentabrometilbenzen"
293339200000,"2,3,5,6 Tetrakloropridin"
290420000015,"2,4 Dinitrotoluen"
291891000000,"2,4,5T (ISO)(2,4,5 trikloropenoksiasetik asit), bunun tuzları ve"
290420000023,"2,4,6 trinitrotoluen (TNT)"
293146000000,"2,4,6tripropil1,3,5,2,4,6trioksatrifosfinan 2,4,6trioksit"
290539300000,"2,4,7,9 tetrametildec 5 yne 4,7 diol"
293399500000,"2,4Ditertbutil6(5klorbenzotriazol2yl) fenol"
293359950022,"2,5Dimetil piperazin"
290729008012,"2,5Dimetilhidroksikinon (2,5dimetilkinon)"
293369402000,"2,6 Ditertbutil4 [4,6bis (oktiltiyo)1,3,5triazi2ylamino] fenol"
291899400000,"2,6Dimetoksibenzoik asit; dicamba (ISO); sodyum fenoksiasetat"
270799110000,"200°C ye kadar sıcaklıkta,hacim itibariyle % 90 veya daha fazla"
520513000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520523000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520613000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
520623000000,"232,56 Desiteksten az, 192,31 (dahil) desiteksten fazla olanlar"
640351110000,24 cm. den az olanlar
640351910000,24 cm. den az olanlar
640359310000,24 cm. den az olanlar
640359910000,24 cm. den az olanlar
640391110000,24 cm. den az olanlar
640391910000,24 cm. den az olanlar
640399310000,24 cm. den az olanlar
640399910000,24 cm. den az olanlar
731100111000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100131000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100191000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100911000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
731100991000,250 ve daha fazla atmosfer basıncına dayanıklı olanlar
970610000000,250 yaşını geçenler
271019150000,2710.19.11.00 alt pozisyonunda belirtilen işlemlerden başka
271019350000,2710.19.31.00 alt pozisyonunda belirtilen işlemlerden başka
271019550000,2710.19.51.00 Alt pozisyonunda belirtilen işlemlerden başka
271019750000,2710.19.71.00 alt pozisyonunda belirtilen işlemlerden başka
271112930000,2711.12.91.00 Alt pozisyonlarında belirtilen işlemlerden
271113300000,2711.13.10.00 Alt pozisyonunda belirtilen işlemden başka bir
271290330000,2712.90.31.00 Alt pozisyonunda belirtilen işlemden başka bir
530890120000,"277,8 Desiteks veya daha fazla olanlar (metrik numarası 36'yı"
530890190000,"277,8 Desiteksten az olanlar (metrik numarası 36 'yı geçenler)"
530610500000,"277,8 Desiteksten az olanlar (metrik numarası 36'yı geçenler)"
270799910000,28.03 Pozisyonundaki ürünlerin imaline mahsus olanlar
271390100000,28.03 Pozisyonundaki ürünlerin imaline mahsus olanlar
382731000000,2903.41 ila 2903.48 alt pozisyonlarındaki maddeleri içerenler
292423001000,2Asetamidobenzoik asit (Nasetilanthranilik asit)
390690200000,2Diizopropilaminoetil metil akrilat ile desil metil akrilatın kopolimerinin
291539009913,2Etil hekzil asetat
291539009911,2Etoksietil asetat
293379000012,2Hidroksikinolin (karbostiril)
290379300054,"2klor3,3,3triflorprop1en (HFC1233xf)"
293090959022,2Kloretil klormetil sülfür
291469800013,2Metilantrakinon
290514100000,2Metilpropan2ol (tertbütilalkol)
291300009011,2Nitrobenzaldehit
290930902000,"2Tertbütil5metil4,6dinitroanisol (amber miski)"
382499850000,3 (1 Etil 1 metilpropil) izoksazol 5 ylamin (tolüen içinde
845811410013,3 lineer ve 1 döner eksenli olanlar
521112000000,3 'lü veya 4 'lü dimi (kırık dimi dahil)
290129009014,"3 Metil 1,2 butadien"
292519200000,"3,3',4,4',5,5',6,6' Oktabrom N,N' etilen diftalimid; N,N' etilenbis"
290519009015,"3,3Dimetil bütan2ol (pinokonilalkol)"
293299009012,"3,4(Methylenedioxy)phenylacetonitrile (1,3Benzodioxole5acetonitrile)"
293299009013,"3,4MDP2P methyl glycidate (PMK glycidate)"
293299009014,"3,4MDP2P methyl glycidic acid (PMK glycidic acid)"
293339450000,"3,5 Dikloro 2,4,6 trifloropridin"
293339250000,"3,6 Dikloropridin 2 karboksilik asit"
293148000000,"3,9Dimetil2,4,8,10tetraoksa3,9difosfaspiro[5.5] undekan 3,9dioksit"
293590300000,"3{1[(7(Hekzadesilsulfonilamino)1Hindol3yl]3oxo1 H, 3Hnafto"
382499610000,30.04 Pozisyonundaki insanlar için kullanılan ilaçların imaline mahsus
850422901000,35 000 volt ve 2000 kVA.dan az olanlar
850422902000,35 000 volt ve 2000 kVA.yı geçen fakat 10 000 kVA.yı geçmeyenler
391400000000,39.01 ila 39.13 Pozisyonlarında yer alan polimer esasIı iyon
293335000000,3Kuinüklidinol
520859100000,3'lü veya 4'lü dimi ( kırık dimi dahil)
520813000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520823000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520833000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520843000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520912000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520922000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520932000000,3'lü veya 4'lü dimi (kırık dimi dahil)
520952000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521032000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521132000000,3'lü veya 4'lü dimi (kırık dimi dahil)
521152000000,3'lü veya 4'lü dimi (kırık dimi dahil)
551323100000,3'lü veya 4'lü dimi (kırık dimi dahil)
520943000000,3'lü veya 4'lü dimiden diğer mensucat (kırık dimi dahil)
521143000000,3'lü veya 4'lü dimiden diğer mensucat (kırık dimi dahil)
292429700037,3oxo2phenylbutanamide
293339990011,3Pikolin (metilpiridin)
293339990016,3Quinüklidinil benzilat
290420000018,"3Tertbütil2,6dinitropsimen (simen miski)"
291413000000,4 Metil 2 pentanon (metil izobütil keton)
293090500000,"4 Metil 2,6 bis (metiltio) m fenilendiamin ve 2 metil 4,6 bis"
293339550000,4 Metilpridin
845710100011,4 ve daha az hareketli eksenli olanlar
845710900011,4 ve daha az hareketli eksenli olanlar
845710900014,4 ve daha az hareketli eksenli olanlar
845811200011,4 ve daha az hareketli eksenli olanlar
290723000011,"4,4' İzopropilidendifenol (bisfenol A,difenilolpropan)"
290892000000,"4,6dinitrookrezol (DNOC (ISO)) ve tuzları"
400280000000,40.01 Pozisyonundaki ürünlerin bu pozisyondaki ürünlerle olan
441830000000,4418.81 ila 4418.89 alt pozisyonları dışında kalan direkler ve kirişler
293336000000,4AnilinNfenetilpiperidin (ANPP)
293332000013,4anilinopiperidin (4AP)
291440100000,4hidroksi4metil pentan2one (diaseton alkol)
291439000013,4İzobütilasetofenon
293499909024,4Methyl5phenyl2oxazolidinone
290420000025,4Nitrobiphenyl
293410000013,4Tiazolin (dihidrotiazol)
291419100000,5 Metilhekzan 2 one
845710100012,5 veya daha fazla hareketli eksenli olanlar
845710900012,5 veya daha fazla hareketli eksenli olanlar
845710900015,5 veya daha fazla hareketli eksenli olanlar
845811200012,5 veya daha fazla hareketli eksenli olanlar
560749900000,50 000 Desiteks veya daha az (5 gr/m)
560750300000,50 000 Desiteks veya daha az (5 gr/m)
271091100000,50 mg/kg veya daha fazla konsantrasyon seviyesinde poliklorlu
853210000000,"50/60 Hz.lik elektrik devreleri için imal edilmiş ve 0,5 kvar veya daha fazla"
570249001011,53.03 pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elveriş
570299000011,53.03 pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elveriş
570239000091,53.03 pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elverişli
560210110000,53.03 Pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elverişli
580639000011,53.03 pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elverişli lifle
580640000011,53.03 pozisyonundaki jüt ve bitki iç kabuklarının dokumaya elverişli lifle
630790920000,56.03 pozisyonundaki mensucattan yapılmış cerrahi operasyonlarda
611300100000,59.06 Pozisyonundaki örme veya kroşe mensucattan yapılmış giyim eşyası
290420000011,"5Tertbütil2,4,6trinitrometaksilen (ksilen miski)"
293349900021,"6,7dimetoksi1(3,4,5trietoksifenil) izokinolin"
621020000000,62.01 pozisyonundaki tanımlanan cinsteki diğer giyim eşyası
621030000000,62.02 pozisyonundaki tanımlanan cinsteki diğer giyim eşyası
650500100000,65.01 Pozisyonunda yer alan şapka taslakları ve disklerinden yapılmış
650699100000,65.01 Pozisyonunda yer alan şapka taslakları ve disklerinden yapılmış
660390901000,66.01 Pozisyonuna giren eşyanın aksamı
540220002911,660 Desitekse (dahil) kadar olanlar
540220002912,660 Desiteksten yukarı olanlar
560490101100,67 Desitekse kadar
560490102100,67 Desitekse kadar
540220001000,67 Desiteksi geçmeyenler
560490101200,67 Desiteksten yukarı
560490102200,67 Desiteksten yukarı
520511000000,"714,29 Desiteks veya daha fazla (metrik numarası l4'ü geçmeyen"
520521000000,"714,29 Desiteks veya daha fazla olanlar (metrik numarası"
520621000000,"714,29 Desiteks veya daha fazla olanlar (metrik numarası"
520611000000,"714,29 Desiteks veya daha fazla olanlar (metrik numarası 14'ü"
520522000000,"714,29 Desiteksten az, 232,56 (dahil) desiteksten fazla"
520512000000,"714,29 Desiteksten az, 232,56 (dahil) desiteksten fazla olanlar"
520612000000,"714,29 Desiteksten az, 232,56 (dahil) desiteksten fazla olanlar"
520622000000,"714,29 Desiteksten az, 232,56 (dahil) desiteksten fazla olanlar"
390761000000,78 ml/g veya daha fazla viskozitesi olanlar
292221000011,7Amino1naftol3sülfonik asit (gamma asit)
721499310000,80 mm. veya daha fazla olanlar
721499710000,80 mm. veya daha fazla olanlar
820600000000,82.02 ila 82.05 Pozisyonlarındaki aletlerin iki veya daha fazlasından
520515900000,"83,33 Desiteksten az olanlar (metrik numarası 120'yi geçen)"
520528000000,"83,33 Desiteksten az olanlar (metrik numarası 120'yi geçen)"
530610100000,"833,3 Desiteks veya daha fazla olanlar (metrik numarası 12 'yi"
530610300000,"833,3 Desiteksten az fakat 277,8 desiteksten az olmayanlar"
843110000000,84.25 Pozisyonundaki makina ve cihazlara ait olanlar
852842000000,84.71 pozisyonundaki otomatik bilgi işlem makinaları ile kullanılmak üzere
852862000000,84.71 pozisyonundaki otomatik bilgi işlem makinaları ile kullanılmak üzere
700719800022,"84.71, 85.17 ve 85.28 tarife pozisyonlarında yer alan eşyalarda"
841590001000,"8415.81, 8415.82 veya 8415.83 alt pozisyonlarındaki sivil hava"
841990150000,8419.20.00.00 alt pozisyonundaki sterilizatörlere ait olanlar
842199100000,8421.29.20 veya 8421.39.15 alt pozisyonlarındaki makine ve cihazlara ait olanlar
842390100000,"8423.20.10, 8423.30.10, 8423.81.21, 8423.81.23, 8423.81.25, 8423.81.29"
842490200000,8424.89.40 alt pozisyonundaki mekanik cihazlara ait olanlar
843120001000,8427.90.00.10 Alt pozisyonundaki makina ve cihazlara ait olanlar
843120002000,8427.90.00.90 Alt pozisyonundaki makina ve cihazlara ait olanlar
843149202300,8429.40.10.00 ve 8429.40.30.00 alt pozisyonlarındaki makina ve
843149202100,"8429.51.10.90 ve 8429.51.99.90, 8429.52.90.00, 8429.59.00.90 Alt"
843143000000,8430.41 ve 8430.49 Alt pozisyonlarındaki delme veya sondaj
844391100000,8443.19.40 alt pozisyonunda yer alan cihazlara ait olanlar
321590200000,"8443.31, 8443.32 veya 8443.39 alt pozisyonlarındaki cihazlara takılacak"
846693400000,"8456.11.10, 8456.12.10, 8456.20, 8456.30, 8457.10, 8458.91, 8459.21.00"
846693500000,8456.50.00 alt pozisyonundaki makinere ait olanlar
847590100000,8475.21.00 alt pozisyonundaki makinalara ait olanlar
847990150000,8479.89.70 alt pozisyonundaki makinalara ait olanlar
848590100000,8485.30.10 veya 8485.80.10 alt pozisyonundaki makinelere ait olanlar
852990301000,85.26 pozisyonunda yer alan cihazlara mahsus iki veya daha fazla aksam ve parçanın
852990961000,85.26 pozisyonunda yer alan cihazlara mahsus iki veya daha fazla aksam ve parçanın
852990930000,85.27 ve 85.28 pozisyonlarındaki cihazlara ait olanlar
700719800021,85.28 tarife pozisyonunda yer alan akıllı tahtalarda kullanılan tipte
853810000000,"85.37 Pozisyonunda yer alan eşya için tablolar, panolar, konsollar,"
851290100000,8512 30 10 alt pozisyonunda yer alan cihazlara ait olanlar
851490300000,"8514.31.10, 8514.32.10 veya 8514.39.10 alt pozisyonundaki ocak ve fırınlara ait olanlar"
851590200000,8515.19.10 alt pozisyonundaki dalga lehim makinalarına ait olanlar
852990150000,8528.72 veya 8528.73 alt pozisyonlarındaki cihazlara ait organik LED modüller
870600110000,87.02 veya 87.04 Pozisyonlarında yer alan taşıtların motorlu şasileri
853690400000,"87.02, 87.03, 87.04 veya 87.11 pozisyonundaki motorlu araçlarda kullanılan türde"
870600910000,87.03 Pozisyonunda yer alan taşıtların motorlu şasileri
870899101100,8701.10 Alt posizyonundaki motokültörlere ait şasi aksamı
870829101000,8701.10 Alt pozisyonundaki motokültörlere ait olanlar
840810110000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810230000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810310000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810410000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810510000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810610000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810710000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810810000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
840810910000,89.01 ila 89.06 pozisyonlarındaki denizde seyretmeye mahsus taşıt
292221000012,"8Amino1naftol3,6disülfonik asit (H asit)"
901090200000,9010.50.00 veya 9010.60.00 alt pozisyonlarındaki alet ve cihazlara ait olanlar
920992000000,"92.02 Pozisyonundaki müzik aletlerinin aksam, parça ve"
920999200000,"92.05 Pozisyonundaki müzik aletlerinin aksam, parça ve aksesuarı"
920994000000,"92.07 Pozisyonundaki müzik aletlerinin aksam, parça ve"
930630101000,93.01 Pozisyonundaki hafif makinalı tabancalara ait olanlar
930591000000,93.01 Pozisyonundaki harp silahlarına ait olanlar
293690009011,A+D vitaminlerinin tabii konsantreleri
293919000016,Acetorphine
080211100000,Acı bademler
080212100000,Acı bademler
120929500000,Acı bakla tohumu
210390900011,Acı biber sosu
252490000013,Actinolite
732690920000,Açık kalıpta dövülmüş
732619100000,Açık kalıpta dövülmüş olanlar
860692000000,Açık olanlar (sabit kenarlı olup yüksekliği 60 cm.yi geçenler)
848790570000,Açık veya kapalı kalıpta dövülmüş demir veya çelikten olanlar
330129499014,Adaçayı yağı
100191200011,Adi buğday
100199000011,Adi buğday
731700809012,Adi inşaat çivileri
510220009011,Adi keçi kılı
511300009012,Adi keçi kılından mensucat
820719900011,Adi metallerden
820720900011,Adi metallerden
820760300011,Adi metallerden
820760700011,Adi metallerden
830400000000,"Adi metallerden dosya kutuları, fiş kutuları, tasnif ve ayırım kutuları,"
854790001000,Adi metallerden iç yüzeyleri izole edilmiş borular ve bunların bağlantı
831120000000,Adi metallerden içi doldurulmuş teller (elektrikli ark kaynağı yap
831000000000,"Adi metallerden işaret levhaları, tabelalar, adres levhaları ve ben"
831130000000,Adi metallerden kaplanmış çubuklar ve içi doldurulmuş teller
940139000012,Adi metallerden koltuk ve sandalyeler
820770310011,Adi metallerden olanlar
820770370011,Adi metallerden olanlar
820780190011,Adi metallerden olanlar
960720100000,Adi metallerden olanlar (dişleri adi metallerden olan band ve şeritler
960622000000,Adi metallerden olanlar (dokumaya elverişli maddelerle
821195000000,Adi metallerden saplar
821490009011,Adi metallerden saplar
821591001000,Adi metallerden saplar
821599101000,Adi metallerden saplar
821599901000,Adi metallerden saplar
970199007000,Adi metallerden yapılmış olanlar
911120000000,Adi metallerden zarflar (altın veya gümüşle kaplanmış olsun
690410000011,Adi topraktan olanlar
690490000011,Adi topraktan olanlar
690510000011,Adi topraktan olanlar
690590000011,Adi topraktan olanlar
690600000011,Adi topraktan olanlar
691200210000,Adi topraktan olanlar
691200810000,Adi topraktan olanlar
691390100000,Adi topraktan olanlar
110100150000,Adi ve kaplıca (kızıl) buğday unu
110311900000,Adi ve kaplıca (kızıl) buğdaydan
081190500000,Adi yaban mersini
081290400000,Adi yaban mersini
081040300000,Adi yaban mersini (Vaccinium myrtillus)
291712000011,Adipik asit
291712000021,Adipik asitin esterleri
291712000012,Adipik asitin tuzları
293729000011,Adrenal hormonları
847290802000,Adres basma makinaları
847290803000,Adres plakalarını stampa etme makinaları
292429700036,Advantam
761290200000,Aerosollerde kullanılacak türdeki kaplar
121160000000,Afrika kirazının kabuğu (Prunus africana)
130211009012,Afyon
070951000000,Agaricus cinsi mantarlar
071080610000,Agaricus cinsi mantarlar
071151000000,Agaricus cinsi mantarlar
071231000000,Agaricus cinsi mantarlar
260111000000,Aglomere edilmemiş
260112000000,Aglomere edilmiş
680430000011,Aglomere edilmiş aşındırıcılardan olanlar
850519100000,Aglomere edilmiş ferritten daimi mıknatıslar
681410000000,Aglomere edilmiş veya terkip yoluyla elde edilmiş mikadan
270220000000,Aglomere linyit
