OSB İli,OSB Ünvanı
Burdur,Burdur II.
Burdur,Burdur-Bucak
Bursa,Barakfakih
Bursa,Bursa
Bursa,Bursa Deri İhtisas ve Karma
Bursa,Bursa Teknoloji (BURSA TEKNOSAB)
Bursa,Demirtaş
Bursa,Hasanağa
Bursa,İnegöl
Bursa,İnegöl Mobilya Ağaç İşleri İhtisas
Bursa,Kayapa
Bursa,Kestel
Bursa,Mustafakemalpaşa
Bursa,Mustafakemalpaşa-mermerciler İhtisas
Bursa,Nilüfer
Bursa,TOSAB Bursa Tekstil Boyahaneleri İhtisas
Bursa,Uludağ
Bursa,Yenice
Bursa,Yenişehir
Çanakkale,Biga
Çanakkale,Çanakkale
Çanakkale,Çanakkale Ayvacık TDİ (Jeo.Kayn.Sera)
Çanakkale,Ezine Gıda İhtisas
Çankırı,Çankırı korgun
Çankırı,Çankırı Orta
Çankırı,Çankırı Yakınkent
Çankırı,Çerkeş
Çankırı,Kurşunlu Çavundur
Çankırı,Şabanözü(Çankırı)
Çorum,Çorum
Çorum,Çorum Sungurlu
Çorum,İskilip
Çorum,Osmancık
Denizli,Çivril
Denizli,Denizli
Denizli,Denizli Çardak
Denizli,Denizli Deri İhtisas ve Karma
Denizli,Denizli Makine İhtisas
Denizli,Denizli-Sarayköy TDİ (Jeotermal)
Diyarbakır,Diyarbakır
Diyarbakır,Diyarbakır Karacadağ
Diyarbakır,Diyarbakır TDİ (Besi-Süt)
Diyarbakır,Diyarbakır Tekstil İhtisas
Diyarbakır,Silvan Gıda ve Tarımsal Sanayi İhtisas
Düzce,Akçakoca Demir Çelik İhtisas
Düzce,Çilimli
Düzce,Düzce
Düzce,Düzce Gümüşova
Düzce,Düzce II.
Edirne,Edirne
Edirne,İpsala
Edirne,Keşan
Edirne,Uzunköprü
Edirne,Uzunköprü Atatürk
Elâzığ,Elazığ
Elâzığ,Elazığ Hayvan Ürünleri
Elâzığ,Elazığ TDİ (Besi)
Elâzığ,Elazığ Teknova
Erzincan,Erzincan
Erzincan,Erzincan TDİ (Besi)
Erzurum,Erzurum Merkez I.
Erzurum,Erzurum Merkez II
Erzurum,Oltu
Eskişehir,Eskişehir
Eskişehir,Eskişehir-Beylikova Besi
Eskişehir,Sivrihisar
Gaziantep,Gaziantep
Gaziantep,Gaziantep Ayakkabı Terlik ve Yan Sanayi İhtisas
Gaziantep,Gaziantep Besi
Gaziantep,Gaziantep Oğuzeli
Gaziantep,İslahiye
Gaziantep,Nizip
Gaziantep,Nizip 2.
Gaziantep,Nurdağı
Giresun,Giresun
Giresun,Giresun 2.
Giresun,Giresun 3.
Giresun,Giresun 4.
Gümüşhane,Gümüşhane
Hakkâri,Hakkari Yüksekova
Hatay,Antakya
Hatay,Hatay Altınözü Enek
Hatay,Hatay Altınözü Enek (Süt) TDİ
Hatay,Hatay Erzin
Hatay,Hatay Hassa
Hatay,Hatay İskenderun II.
Hatay,Hatay Kırıkhan
Hatay,Hatay Payas
Hatay,İskenderun
Iğdır,Iğdır
Isparta,Isparta Deri İhtisas ve Karma
Isparta,Isparta Süleyman Demirel
Isparta,Isparta-Yalvaç
İstanbul,Beylikdüzü
İstanbul,Birlik
İstanbul,Biyoteknoloji İhtisas
İstanbul,İstanbul Anadolu Yakası
İstanbul,İstanbul Deri
İstanbul,İstanbul Dudullu
İstanbul,İstanbul İkitelli
İstanbul,İstanbul Tuzla
İstanbul,İstanbul Tuzla Kimya Sanayicileri
İzmir,Aliağa Kimya İhtisas ve Karma
İzmir,Bağyurdu (BAYOSB)
İzmir,Bergama
İzmir,Buca Ege
İzmir,Dikili TDİ (Jeo.Kayn.Sera)
İzmir,İTOB
İzmir,İzmir Aliağa Bağyurdu ( ÖZEL )
İzmir,İzmir Atatürk
İzmir,İzmir Bayındır TDİ(Sera)
İzmir,İzmir Kemalpaşa
İzmir,"İzmir Kınık Bitkisel Üretim (Tohum,Fide,Tıbbi ve Aromatik Bitkiler vb.) TDİ"
İzmir,İzmir Pancar
İzmir,Kınık
İzmir,Menemen Plastik İhtisas
İzmir,Ödemiş
İzmir,Tire
İzmir,Torbalı Karma ve Mobilya
Kahramanmaraş,Afşin
Kahramanmaraş,Elbistan
Kahramanmaraş,Erkenez
Kahramanmaraş,Kahramanmaraş
Kahramanmaraş,Kahramanmaraş Elbistan TDİ (Besi)
Kahramanmaraş,Kahramanmaraş Gıda İhtisas
Kahramanmaraş,Kahramanmaraş Tomsuklu
Kahramanmaraş,Türkoğlu
Karabük,Eskipazar
Karabük,Karabük
Karaman,Karaman
Karaman,Karaman 2.
Kars,Kars
Kars,Kars İhtisas Besi
Kastamonu,Kastamonu
Kastamonu,Kastamonu Devrekani TDİ (Besi)
Kastamonu,Kastamonu Seydiler
Kastamonu,Kastamonu Taşköprü
Kastamonu,Tosya
Kayseri,Erciyes
Kayseri,Kayseri
Kayseri,Kayseri İncesu
Kayseri,Kayseri Kocasinan TDİ(Jeo.Kayn.Sera)
Kayseri,Kayseri Mimarsinan
Kırıkkale,Keskin
Kırıkkale,Kırıkkale I
Kırıkkale,Kırıkkale Silah Sanayi İhtisas
Kırklareli,Büyükkarıştıran
Kırklareli,Evrensekiz
Kırklareli,Kırklareli
Kırklareli,Kırklareli Kavaklı TDİ (Süt)
Kırklareli,Pagder-Aslan Plastikçiler İhtisas ( ÖZEL )
Kırşehir,Kaman
Kırşehir,Kırşehir
Kırşehir,Mucur
Kilis,Kilis
Kilis,Kilis Polateli Şahinbey
Kocaeli,Asım Kibar
Kocaeli,Gebze
Kocaeli,Global Karma
Kocaeli,Kandıra Gıda İhtisas
Kocaeli,Kocaeli Alikahya
Kocaeli,Kocaeli Arslanbey
Kocaeli,Kocaeli Gebze Dilovası
Kocaeli,Kocaeli Gebze Güzeller
Kocaeli,Kocaeli Gebze Plastikçiler
Kocaeli,Kocaeli Gebze V(kimya) İhtisas
Kocaeli,Kocaeli Gebze VI(İMES)Makine İhtisas
Kocaeli,Kocaeli Kobi
Kocaeli,Makine İhtisas
Kocaeli,TOSB Otomotiv Tedarik Sanayi İhtisas
Konya,Akşehir
Konya,Akşehir Gıda İhtisas
Konya,Beyşehir
Konya,Çumra
Konya,Karapınar
Konya,Konya
Konya,Konya Birinci
Konya,Konya Ereğli
Konya,Konya-Ilgın
Konya,Kulu
Konya,Sarayönü
Konya,Seydişehir
Kütahya,Gediz
Kütahya,Kütahya
Kütahya,Kütahya 30 Ağustos
Kütahya,Kütahya Altıntaş Zafer
Kütahya,Kütahya Seramik
Kütahya,Kütahya Simav TDİ(Jeo. Kayn. Sera)
Kütahya,Kütahya Tavşanlı
Malatya,Darende
Malatya,Malatya (Besi) TDİ
Malatya,Malatya II.
Malatya,Malatya Merkez I.
Malatya,Malatya Yazıhan (Sera) TDİ
Manisa,Akhisar
Manisa,Akhisar Zeytin ve Zeytinyağı ve Türevleri İhtisas
Manisa,Demirci
Manisa,Kula Deri İhtisas ve Karma
Manisa,Manisa
Manisa,Manisa Turgutlu I.
Manisa,Muradiye
Manisa,Salihli
Manisa,Soma
Mardin,Mardin
Mardin,Mardin 2’nci
Mardin,Mardin Midyat
Mersin,Anamur
Mersin,Mersin Erdemli
Mersin,Mersin Tarsus
Mersin,Mersin Tarsus Tarımsal Ürün İşleme İhtisas
Mersin,Mut
Mersin,Silifke
Mersin,Tarsus
Muğla,Milas
Muğla,Muğla Seydikemer TDİ (Süt)
Muş,Muş
Nevşehir,Nevşehir
Nevşehir,Nevşehir Acıgöl
Nevşehir,Nevşehir Avanos Kapadokya
Nevşehir,Nevşehir Kozaklı TDİ (Jeo.Kayn.Sera)
Niğde,Niğde
Niğde,Niğde Bor Karma ve Deri İhtisas
Niğde,Niğde II.
Niğde,Niğde-Bor TDİ (Besi)
Ordu,Fatsa
Ordu,Ordu
Ordu,Ordu 2’nci
Ordu,Ordu Ünye
Osmaniye,Düziçi Karma
Osmaniye,Kadirli
Osmaniye,Osmaniye
Osmaniye,Sumbas Karma
Rize,Rize
Rize,Rize Ardeşen
Sakarya,Ferizli
Sakarya,Karasu
Sakarya,Kaynarca Mobilya İhtisas
Sakarya,Sakarya I
Sakarya,Sakarya II
Sakarya,Sakarya III
Sakarya,Sakarya Kaynarca Doğu Marmara Makine İmalatçıları İhtisas
Sakarya,Sakarya Otomotiv ve Metal İhtisas
Sakarya,Sakarya Söğütlü
Samsun,Çarşamba
Samsun,Samsun Bafra
Samsun,Samsun Bafra (Sera) TDİ
Samsun,Samsun Gıda İhtisas
Samsun,Samsun Havza
Samsun,Samsun Kavak
Samsun,Samsun Merkez
Samsun,Samsun Yeni
Samsun,Terme Karma
Samsun,Vezirköprü Karma
Siirt,Siirt
Sinop,Boyabat
Sinop,Sinop
Sivas,Demirağ
Sivas,Sivas Gemerek
Sivas,Sivas Merkez I
Sivas,Sivas Şarkışla
Sivas,Şarkışla TDİ
Şanlıurfa,Birecik
Şanlıurfa,Siverek
Şanlıurfa,Şanlıurfa
Şanlıurfa,Şanlıurfa Gıda İhtisas
Şanlıurfa,Şanlıurfa TDİ
Şanlıurfa,Şanlıurfa Viranşehir
Şırnak,Şırnak
Şırnak,Şırnak Cizre
Şırnak,Şırnak Silopi TDİ (Sera)
Tekirdağ,Çerkezköy
Tekirdağ,Çorlu 1
Tekirdağ,Çorlu deri İhtisas ve karma
Tekirdağ,Ergene-1
Tekirdağ,Ergene-2
Tekirdağ,Hayrabolu
Tekirdağ,Kapaklı
Tekirdağ,Malkara
Tekirdağ,Marmaraereğlisi
Tekirdağ,Muratlı
Tekirdağ,Pakop Plastik İhtisas
Tekirdağ,Veliköy
Tekirdağ,Velimeşe
Tekirdağ,Yalıboyu
Tokat,Erbaa Toprak Sanayi İhtisas ve Karma
Tokat,Niksar
Tokat,Tokat Merkez
Tokat,Tokat-Turhal
Tokat,Zile
Trabzon,Araklı Hazır Giyim/Tekstil İhtisas
Trabzon,Şinik (Akçaabat)
Trabzon,Trabzon Arsin
Trabzon,Trabzon Beşikdüzü
Trabzon,Vakfıkebir (Trabzon)
Tunceli,Tunceli
Uşak,Banaz
Uşak,Uşak
Uşak,Uşak Banaz TDİ(Jeo.Kayn.Sera)
Uşak,Uşak Deri (karma)
Uşak,Uşak Karahallı
Van,Erciş
Van,Van
Van,Van TDİ (Besi)
Yalova,Yalova Avrasya Giyim ve Gemi İhtisas
Yalova,Yalova Çiftlikköy TDİ Sera (Bitkisel Üretim)
Yalova,Yalova Kalıp İmalatı İhtisas
Yalova,Yalova Kompozit ve Kimya İhtisas
Yalova,Yalova Makina İhtisas
Yozgat,Bozok
Yozgat,Fuat Oktay
Yozgat,Kaleseramik ( ÖZEL )
Yozgat,Yozgat
Yozgat,Yozgat Yerköy (Jeo.Kayn.Sera) TDİOSB
Zonguldak,Zonguldak (Sera) TDİ
Zonguldak,Zonguldak Alaplı
Zonguldak,Zonguldak Çaycuma
Zonguldak,Zonguldak Ereğli
Zonguldak,Zonguldak Gökçebey
