Kod,Tanım
26.40.99,Başka yerde sınıflandırılmamış tüketici elektroniği ürünlerinin imalatı
26.5,Ölçme ve test cihazları ile saat imalatı
26.51,"Ölçme, test ve seyrüsefer (navigasyon) amaçlı alet ve cihazların imalatı"
26.51.01,Hırsız ve yangın alarm sistemleri imalatı (bir kontrol istasyonuna sinyal gönderenler) (motorlu kara taşıtları için olanlar hariç)
26.51.02,"Dedektör imalatı (yeraltı kaynakları, maden, mayın, güvenlik kontrol, radyasyon vb. dedektörleri)"
26.51.03,"Elektrik miktarını (volt, akım vb.) ölçmek ve kontrol etmek için kullanılan alet ve cihazların imalatı (avometre, voltmetre, osiloskop ile diğer voltaj, akım, direnç veya elektrik gücünü ölçüm veya kontrol için olanlar) (elektrik sayaçları hariç)"
26.51.04,"Hız ve mesafe ölçümünde kullanılan alet ve cihazların imalatı (taşıt hız göstergesi, takometre, taksimetre vb.)"
26.51.05,"Isı ve sıcaklık ölçümünde kullanılan alet ve cihazların imalatı (termometre, termostat, pirometre vb.)"
26.51.06,"Işık, ışın ve renk ölçümünde kullanılan alet ve cihazların imalatı (polarimetre, kolorimetre, refraktometre vb.)"
26.51.07,Meteorolojide kullanılan alet ve cihazların imalatı
26.51.08,"Yön bulma pusulaları ile diğer seyrüsefer alet ve cihazlarının, radar ve sonar cihazlarının imalatı (hava, kara ve deniz taşımacılığında kullanılanlar dahil)"
26.51.09,"Hava, sıvı ve gazların akış, seviye, basınç veya diğer değişkenlerini ölçme ve kontrol etme için kullanılan aletlerin imalatı (hidrometre, debimetre, barometre, higrometre vb.)"
26.51.10,"Gaz, sıvı veya elektrik üretim veya tüketim sayaçlarının imalatı"
26.51.11,"Teçhizatlı çizim masaları ve makineleri ile diğer çizim, işaretleme veya matematiksel hesaplama aletlerinin imalatı (pergel takımı, pantograf, resim, çizim, hesap yapmaya mahsus elektrikli/elektronik çiziciler vb. dahil)"
26.51.12,"Laboratuvar, kuyumculuk vb. yerlerde kullanılan hassas tartıların imalatı"
26.51.13,Sanayide kullanılan işlem kontrol amaçlı teçhizatların imalatı
26.51.14,"Telemetreler, teodolitler ve diğer arazi ölçümü, hidrografik, oşinografik, hidrolojik veya jeofizik alet ve cihazlarının imalatı"
26.51.15,"Seyrüsefere yardımcı telsiz cihazları ile uzaktan kumandalı kontrol cihazlarının (roketler, füzeler, makineler vb) imalatı"
26.51.99,"Başka yerde sınıflandırılmamış ölçme, test ve seyrüsefer amaçlı alet ve cihazların imalatı (hidrolik veya pnömatik otomatik ayar veya kontrol aletleri ile milometreler, pedometreler, stroboskoplar, monostatlar, kumpaslar, spektrometreler dahil)"
26.52,"Kol saatlerinin, masa ve duvar saatlerinin ve benzerlerinin imalatı"
26.52.03,"Devam kayıt cihazları, zaman kayıt cihazları, parkmetreler; duvar ve kol saati makineli zaman ayarlı anahtarların imalatı (vardiya saati vb.)"
26.52.04,"Kol, masa, duvar ve cep saatlerinin, bunların makinelerinin, kasalarının ve diğer parçalarının imalatı (kronometreler ve taşıtlar için gösterge panellerinde bulunan saatler ve benzeri tipteki saatler dahil)"
26.6,"Işınlama, elektro medikal ve elektro terapi ile ilgili cihazların imalatı"
26.60,"Işınlama, elektro medikal ve elektro terapi ile ilgili cihazların imalatı"
26.60.01,"Işınlama, elektro medikal ve elektro terapi ile ilgili cihazların imalatı"
26.7,"Optik aletlerin, manyetik ve optik medyanın ve fotoğrafik ekipmanların imalatı"
26.70,"Optik aletlerin, manyetik ve optik medyanın ve fotoğrafik ekipmanların imalatı"
26.70.11,"Objektif merceği, levha ve tabaka halinde polarizan madde, renk filtresi, optik mercek, prizma, ayna ve diğer optik elemanlar ile dürbün, optik mikroskop, optik teleskop ve diğer astronomik aletler ile bunların aksam ve parçalarının imalatı"
26.70.12,"Mikrofilm, mikrofiş ve diğer mikroform okuyucuların imalatı"
26.70.13,"Sinematografik kameraların ve projektörlerin, diyapozitif (slayt) ve diğer projektörlerin imalatı"
26.70.16,"Fotoğraf makinesi imalatı (dijital, anında görüntü basan, dokümanların mikrofilm, vb. üzerine kaydedilmesinde, deniz altında, hava fotoğrafçılığında, adli tıp veya kriminolojik laboratuvarlarda, vb. kullanılanlar)"
26.70.19,"Flaş lambaları, fotografik agrandisörler (büyütücüler), fotoğraf laboratuvarları için cihazlar, negatoskoplar (ince ışıklı panel), projeksiyon ekranları, likit kristal cihazlar ile lazerlerin (lazer diyotlar hariç) imalatı"
26.70.20,Boş manyetik ses ve görüntü kaset bantlarının imalatı (plak dahil)
26.70.21,Manyetik şeritli kartların imalatı (boş telefon kartı dahil)
26.70.22,"Boş CD, DVD, disket, mavi ışınlı (blu-ray) disk, vb. ürünlerin imalatı (disk üretimi için kullanılan kalıp (matris) ve master dahil)"
26.70.99,Başka yerde sınıflandırılmamış manyetik ve optik ortamların imalatı
27,Elektrikli teçhizat imalatı
27.1,"Elektrik motoru, jeneratör, transformatör ile elektrik dağıtım ve kontrol cihazlarının imalatı"
27.11,"Elektrik motorları, jeneratörler ve transformatörlerin imalatı"
27.11.01,"Elektrik motoru, jeneratör ve transformatörlerin imalatı (aksam ve parçaları hariç)"
27.11.03,"Elektrik motoru, jeneratör ve transformatörlerin aksam ve parçalarının imalatı"
27.12,Elektrik dağıtım ve kontrol cihazları imalatı
27.12.01,Elektrik dağıtım ve kontrol cihazları imalatı
27.12.02,Elektrik dağıtım ve kontrol cihazlarının aksam ve parçalarının imalatı
27.2,Akümülatör ve pil imalatı
27.20,Akümülatör ve pil imalatı
27.20.01,"Elektrik akümülatör parçalarının imalatı (akümülatör plakaları, separatörler, kurşun ızgaralar) (akümülatör kutu ve kapaklarının imalatı hariç)"
27.20.02,"Şarj edilemeyen (birincil) pil ve bataryalar ile bunların aksam ve parçalarının imalatı (manganez dioksitli, cıva oksitli, gümüş oksitli, lityum oksitli, çinko-hava reaksiyonlu pil ve bataryalar)"
27.20.03,"Akümülatör imalatı (kurşun asitli, nikel kadmiyum, nikel metal hidrit, lityum-iyon, lityum polimer, nikel demir ve diğer elektrik akümülatörleri)"
27.20.04,Şarj edilebilir pil ve batarya ile bunların parçalarının imalatı
27.20.05,Akümülatör kutu ve kapaklarının imalatı
27.3,Kablolamada kullanılan teller ve kablolar ile gereçlerin imalatı
27.31,Fiber optik kabloların imalatı
27.31.04,Fiber optik kabloların imalatı
27.32,Diğer elektronik ve elektrikli teller ve kabloların imalatı
27.32.03,Diğer elektronik ve elektrikli teller ve kabloların imalatı
27.33,Kablolamada kullanılan gereçlerin imalatı
27.33.00,Kablolamada kullanılan gereçlerin imalatı
27.4,Aydınlatma ekipmanları imalatı
27.40,Aydınlatma ekipmanları imalatı
27.40.01,"Ampul, flaş küpü ve benzerlerinin imalatı"
27.40.02,"Hava ve motorlu kara taşıtları için monoblok far üniteleri, kara, hava ve deniz taşıtları için elektrikli aydınlatma donanımları veya görsel sinyalizasyon ekipmanları imalatı (polis araçları, ambulans vb. araçların dış ikaz lambaları dahil)"
27.40.03,"Avize, aplik ve diğer elektrikli aydınlatma armatürleri, sahne, fotoğraf veya sinema stüdyoları için projektörler ve spot ışıkları, elektrikli masa lambaları, çalışma lambaları, abajur vb. lambaların imalatı (süsleme için ışıklandırma setleri dahil)"
27.40.04,Sokak aydınlatma donanımlarının imalatı (trafik ışıkları hariç)
27.40.05,"Pil, akümülatör veya manyeto ile çalışan portatif elektrik lambaları ve elektriksiz lambalar ile el feneri, gaz ve lüks lambası vb. aydınlatma armatürlerinin imalatı (taşıtlar için olanlar hariç)"
27.40.06,"Işıklı tabela, ışıklı reklam panosu ve benzerlerinin imalatı"
27.40.99,Başka yerde sınıflandırılmamış aydınlatma ekipmanları imalatı
27.5,Ev aletleri imalatı
27.51,Elektrikli ev aletlerinin imalatı
27.51.02,"Ev tipi elektrikli su ısıtıcıları (depolu su ısıtıcıları, anında su ısıtıcıları, şofben, termosifon dahil), elektrikli ısıtma cihazları (elektrikli soba, radyatör, vb.) ve elektrikli toprak ısıtma cihazlarının imalatı"
27.51.03,"Ev tipi elektrikli süpürge ve halı temizleme/yıkama makineleri ile kuru veya ıslak elektrikli süpürgeler, şarjlı veya pilli el süpürgelerinin imalatı"
27.51.04,"Mutfakta kullanılan elektrikli küçük ev aletlerinin imalatı (çay veya kahve makinesi, semaver, ızgara, kızartma cihazı, ekmek kızartma makinesi, mutfak robotu, mikser, blender, meyve sıkacağı, et kıyma makinesi, tost makinesi, fritöz vb.)"
27.51.05,"Elektrikli diğer küçük ev aletleri (elektrotermik el kurutma makinesi, elektrikli ütü, havlu dispenseri, hava nemlendirici) ile elektrikli battaniyelerin imalatı"
27.51.06,"Elektrikli kişisel bakım eşyalarının imalatı (elektrikli tıraş makinesi, epilatör ve saç kesme makinesi, elektrotermik saç şekillendirme makinesi (saç kurutma makinesi, bigudi, tarak, saç maşası), elektrikli diş fırçası, vb.)"
27.51.07,Elektrikli ev aletleri aksam ve parçalarının imalatı
27.51.08,"Ev tipi buzdolabı, dondurucu, çamaşır makinesi, çamaşır kurutma makinesi, bulaşık makinesi, vantilatör, aspiratör, fan, aspiratörlü davlumbaz, fırın, ocak, mikrodalga fırın, elektrikli pişirme sacı vb. imalatı"
27.51.99,Başka yerde sınıflandırılmamış diğer elektrikli ev aletlerinin imalatı
27.52,Elektriksiz ev aletlerinin imalatı
27.52.02,"Elektriksiz ev tipi gaz, sıvı veya katı yakıtlı soba, kuzine, ızgara, şömine, mangal, semaver, su ısıtıcısı (termosifon, şofben vb.) vb. aletlerin imalatı"
27.52.05,"Elektriksiz yemek pişirme cihazlarının imalatı (gaz yakıtlı set üstü ocaklar, gaz veya sıvı yakıtlı fırınlar ve ocaklar vb.)"
27.52.06,Elektriksiz ev aletlerinin aksam ve parçalarının imalatı
27.9,Diğer elektrikli ekipmanların imalatı
27.90,Diğer elektrikli ekipmanların imalatı
27.90.01,"Elektro kaplama makinelerinin imalatı (galvanoplasti, elektro kaplama, elektroliz veya elektroforez için)"
27.90.03,"Elektrikli sinyalizasyon, güvenlik veya trafik kontrol ekipmanlarının imalatı (demir yolları, kara yolları, iç su yolları, taşıt park alanları, limanlar ve hava meydanları için) (trafik ışıkları ve sinyal donanımları dahil)"
27.90.04,"Karbon elektrotlar ve elektrik işlerinde kullanılan grafitten veya karbondan diğer ürünlerin imalatı (ısıtıcı kömür rezistanslar, pil kömürleri, ark lambaları ve diğer lambalar için kömürler vb. dahil)"
27.90.05,"Elektrikli kaynak ve lehim teçhizatı (lehim havyaları, ark kaynak makineleri, endüksiyon kaynak makineleri vb.) ile metallerin veya sinterlenmiş metal karbürlerin sıcak spreylenmesi için elektrikli makine ve cihazlarının imalatı"
27.90.06,Sıvı kristal cihazlı (LCD) veya ışık yayan diyotlu (LED) gösterge panelleri ile bys. elektrikli sesli veya görsel sinyalizasyon cihazlarının imalatı (elektronik sayı levhası (skorbord) dahil)
27.90.99,Başka yerde sınıflandırılmamış diğer elektrikli ekipmanların imalatı
28,Başka yerde sınıflandırılmamış makine ve ekipman imalatı
28.1,Genel amaçlı makinelerin imalatı
28.11,"Motor ve türbin imalatı (hava taşıtı, motorlu kara taşıtı ve motosiklet motorları hariç)"
28.11.08,"Türbin ve türbin parçalarının imalatı (rüzgar, gaz, su ve buhar türbinleri ile su çarkları ve bunların parçaları) (hava taşıtları için turbo jetler veya turbo pervaneler hariç)"
28.11.09,"Deniz taşıtlarında, demir yolu taşıtlarında ve sanayide kullanılan kıvılcım ateşlemeli veya sıkıştırma ateşlemeli içten yanmalı motorların ve bunların parçalarının imalatı (hava taşıtı, motorlu kara taşıtı ve motosiklet motorları hariç)"
28.11.10,"İçten yanmalı motorlar, dizel motorlar vb.de kullanılan pistonlar, silindirler ve silindir blokları, silindir başları, silindir gömlekleri, emme ve egzos subapları, segmanlar, hareket kolları, karbüratörler, yakıt memeleri vb.nin imalatı  (hava taşıtı, motorlu kara taşıtı ve motosiklet motorları hariç)"
28.12,Akışkan gücü ile çalışan ekipmanların imalatı
28.12.05,"Akışkan gücü ile çalışan ekipmanların ve bunların parçalarının imalatı (hidrolik ve pnömatik motorlar, hidrolik pompalar, hidrolik ve pnömatik valfler, hidrolik sistemler ve bunların parçaları)"
28.13,Diğer pompaların ve kompresörlerin imalatı
28.13.01,Hava veya vakum pompaları ile hava veya diğer gaz kompresörlerinin imalatı (el ve ayakla çalışan hava pompaları ile motorlu taşıtlar için olanlar hariç)
28.13.02,"Sıvı pompaları ve sıvı elevatörleri imalatı (yakıt, yağlama, soğutma ve diğer amaçlar için) (deplasmanlı ve santrifüjlü pompalar ile benzinliklerde kullanılan akaryakıt pompaları dahil) (tulumba dahil, içten yanmalı motorlar için olanlar hariç)"
28.13.03,El ve ayakla çalışan hava pompalarının imalatı
28.13.04,"İçten yanmalı motorlara monte edilmek üzere tasarlanmış pompaların imalatı (yağ pompaları, yakıt pompaları (benzin, mazot vb. pompaları) ve soğutma pompaları)"
28.14,Diğer musluk ve valf/vana imalatı
28.14.01,"Sanayi musluk, valf ve vanaları, sıhhi tesisat ve ısıtmada kullanılan musluk ve vanalar ile doğalgaz vanaları, dökme olanlar"
28.14.02,"Sanayi musluk, valf ve vanaları, sıhhi tesisat ve ısıtmada kullanılan musluk ve vanalar ile doğalgaz vanaları, dökme olanlar hariç"
28.15,"Rulman, dişli/dişli takımı, şanzıman ve tahrik elemanlarının imalatı"
28.15.01,Rulmanlar ve mekanik güç aktarma donanımları imalatı
28.15.02,"Debriyajlar (kavramalar), mil (şaft) kaplinler ve üniversal mafsalların imalatı (motorlu kara taşıtlarında kullanılan debriyajlar hariç)"
28.15.03,"Dişliler/dişli takımları, bilyeli ve makaralı vidalar, şanzımanlar, vites kutuları ve diğer hız değiştiricilerin imalatı (motorlu kara taşıtlarında kullanılan vites kutuları ve diferansiyelleri hariç)"
28.15.04,Volanlar ve kasnaklar ile mafsallı bağlantı zincirleri ve güç aktarım zincirlerinin imalatı
28.2,Genel amaçlı diğer makinelerin imalatı
28.21,"Fırınlar, sobalar ve sabit ev ısıtma ekipmanlarının imalatı"
28.21.07,"Elektrikli veya elektriksiz laboratuar ocakları, döküm ocakları vb. endüstriyel ocak ve fırınlarının imalatı (çöp yakma fırınları ile elektrikli ekmek ve unlu mamul fırınları dahil)"
28.21.10,"Güneşle (güneş kolektörleri), buharla ve yağla ısıtma sistemleri ile benzeri ocak ve ısınma donanımları gibi elektriksiz ev tipi ısıtma, soğutma, havalandırma donanımlarının imalatı"
28.21.99,"Başka yerde sınıflandırılmamış diğer fırın ve ocakların (sanayi ocakları) imalatı (ocak brülörleri (ateşleyicileri), endüksiyon veya dielektrik ısıtma ekipmanları, mekanik kömür taşıyıcıları, mekanik ızgaralar, mekanik kül boşaltıcıları ve benzeri cihazların imalatı, vb.)"
28.22,Kaldırma ve taşıma ekipmanları imalatı
28.22.10,"El veya motor gücü ile çalışan kaldırma, taşıma, yükleme ya da boşaltma makinelerinin imalatı"
28.22.11,"Asansör, yürüyen merdiven ve yürüyen yolların imalatı (yeraltında kullanılanlar hariç)"
28.22.12,"Pnömatik ve diğer devamlı hareketli asansör, elavatör ve konveyörlerin imalatı"
28.22.90,"Diğer kaldırma, taşıma, yükleme veya boşaltma makinelerinin imalatı"
28.23,Büro makine ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç)
28.23.00,Büro makine ve ekipmanları imalatı (bilgisayarlar ve çevre birimleri hariç)
28.23.90,Diğer büro makine ve ekipmanları imalatı
28.24,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı
28.24.01,Motorlu veya pnömatik (hava basınçlı) el aletlerinin imalatı
28.25,Ev dışı iklimlendirme ekipmanlarının imalatı
28.25.01,"Sanayi tipi soğutucu ve dondurucu donanımları ile ısı pompalarının imalatı (camekanlı, tezgahlı veya mobilya tipi soğutucular, kondenserleri ısı değiştiricisi fonksiyonu gören kompresörlü üniteler vb.)"
28.25.02,Sanayi tipi fan ve vantilatörlerin imalatı (çatı havalandırma pervaneleri dahil)
28.25.03,İklimlendirme cihazlarının (klimalar) imalatı (motorlu taşıtlarda kullanılanlar hariç)
28.25.04,"Isı değiştirici birimlerin (eşanjörler), hava veya diğer gazların sıvılaştırılmasında kullanılan makinelerin ve hava/gazların filtrelenmesi ve arıtılması için kullanılan makine ve cihazların imalatı"
28.29,Başka yerde sınıflandırılmamış diğer genel amaçlı makinelerin imalatı
28.29.04,Sıvılar için filtreleme veya arıtma makine ve cihazlarının imalatı (suyun filtre edilmesi/arıtılmasına mahsus cihazlar dahil)
28.29.05,"Doldurma, paketleme ve ambalajlama makinelerinin imalatı (doldurma, kapatma, mühürleme, kapsülleme veya etiketleme ve içecekleri gazlandırma vb. için makineler)"
